"PlayerName","position","TeamName","TeamNameAbb","teamid","playerid","Bats","xMLBAMID","Season","Age","AgeR","SeasonMin","SeasonMax","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","TTO%","wOBA","wRAA","wRC","Batting","Fielding","Replacement","Positional","wLeague","CFraming","Defense","Offense","RAR","WAR","WAROld","Dollars","BaseRunning","Spd","wRC+","wBsR","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","C+SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","UBR","GDPRuns","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD%+","GB%+","FB%+","HRFB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","xwOBA","xAVG","xSLG","XBR","PPTV","CPTV","BPTV","DSV","DGV","BTV","rPPTV","rCPTV","rBPTV","rDSV","rDGV","rBTV","EBV","ESV","rFTeamV","rBTeamV","rTV","piCH%","piCS%","piCU%","piFA%","piFC%","piFS%","piKN%","piSB%","piSI%","piSL%","piXX%","pivCH","pivCS","pivCU","pivFA","pivFC","pivFS","pivKN","pivSB","pivSI","pivSL","pivXX","piCH-X","piCS-X","piCU-X","piFA-X","piFC-X","piFS-X","piKN-X","piSB-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCS-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piKN-Z","piSB-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCS","piwCU","piwFA","piwFC","piwFS","piwKN","piwSB","piwSI","piwSL","piwXX","piwCH/C","piwCS/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwKN/C","piwSB/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","piPace","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Q","TG","TPA","Pos"
"Matt Chapman","3B","SFG","SFG",30,16505,"R",656305,2024,31,"31 - 31",2024,2024,154,575,647,142,74,39,2,27,98,78,64,3,158,6,2,0,13,15,2,0.247,161,190,68,31,2710,983,1727,17,0,0,0.099,0.244,0.405,0.328,0.463,0.79,0.216,0.293,0.847,0.162,0.384,0.453,0.163,0.142,0.106,0,0.385,0.34,15.6,91.285,15.913,9.315,19.563,2.294,1.982,NA,11.609,19.632,52.787,5.452,5.436,43.614,3.719,5.572,120.568,1.077,0.702,-11.805,12.507,20.225,2.092,1.026,0.467,1,1.912,-1.228,0.513,93.903,0.265,84.788,0.067,88.79,0.066,80.38,0.072,85.031,0.017,87.532,0,76,0.006,NA,8.472,5.001,-3.44,2.471,0.388,1.732,-0.25,0.61,0.698,-1.901,1.38,0.2,3.684,-24.982,0.277,0.658,0.446,0.687,0.849,0.793,0.443,0.641,0.092,0.192,0.284,163,158,98,70,192,157,419,0.389,0.377,0.234,0.167,0.458,0.375,1,0.2,100.047,120.042,108.113,103.909,114.531,137.292,99.293,82.021,89.354,121.864,119.044,96.4,107.012,95.828,104.761,87.299,118.717,0.344,0.254,0.462,2.642,3,0,1,0,0,0,0.246,NA,-0.039,NA,NA,NA,3,1,0.246,-0.039,0.206,0.074,0,0.062,0.322,0.081,0.011,0,NA,0.18,0.267,NA,85.18,43.592,80.474,94.656,89.566,86.38,76.417,NA,93.44,85.017,NA,2.347,-2.738,3.04,-1.757,0.768,-4.251,-3.303,NA,-4.402,2.813,NA,2.138,5.736,-7.013,8.173,3.902,0.892,-3.09,NA,3.574,-0.177,NA,-1.144,1.412,3.283,3.178,-2.543,3.716,-0.253,NA,1.402,4.118,NA,-0.569,141.167,1.943,0.365,-1.156,11.987,-25.276,NA,0.287,0.57,NA,0.237,0.621,0.446,0.649,0.835,0.79,0.545,18.063,419,93.19,16.198,53,0.126,114.488,202,0.482,3.994,162,647,0
"William Contreras","C","MIL","MIL",23,20503,"R",661388,2024,26,"26 - 26",2024,2024,155,595,679,167,105,37,2,23,99,92,78,5,139,3,3,0,19,9,2,0.281,250,133,76,12,2677,1046,1631,22,0,0,0.115,0.205,0.561,0.365,0.466,0.831,0.185,0.33,1.88,0.166,0.545,0.29,0.09,0.173,0.088,0,0.353,0.359,26.532,105.96,24.961,2.337,20.531,5.307,2.08,3.3,7.644,22.36,52.616,5.434,5.736,43.472,-2.601,4.416,130.742,-0.439,0.917,-12.178,13.095,29.105,2.958,1.01,2.978,2,2.559,-1.652,0.488,93.972,0.227,84.855,0.077,88.947,0.079,80.128,0.093,85.496,0.036,85.865,NA,NA,0.007,NA,13.582,0.021,-1.148,6.25,5.606,0.125,NA,1.041,0.003,-0.555,2.962,2.243,0.131,NA,0.291,0.743,0.474,0.572,0.837,0.741,0.405,0.604,0.123,0.136,0.258,181,161,117,61,214,184,459,0.394,0.351,0.255,0.133,0.466,0.401,-1.2,-0.3,113.706,139.407,90.629,115.825,115.258,117.697,111.785,83.682,126.657,77.871,144.868,97.717,99.541,104.437,83.336,88.822,127.009,0.36,0.271,0.483,-2.162,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.098,0.001,0.072,0.277,0.081,0.03,0,0.001,0.199,0.24,0,85.6,59.833,79.939,94.566,89.29,85.187,59.088,81.509,93.548,84.949,81.154,-0.121,2.871,2.067,-1.527,1.065,-1.978,5.777,-4.639,-5.138,2.893,0,1.556,-3.963,-6.528,8.349,3.929,1.067,4.301,-4.33,3.738,-0.349,0,4.973,0.098,6.493,6.372,-2.748,0.823,0.038,-0.24,3.423,1.519,-0.039,1.898,4.921,3.347,0.86,-1.26,1.041,3.808,-7.985,0.641,0.237,-3.936,0.242,0.704,0.473,0.483,0.825,0.738,0.501,18.435,459,92.796,6.068,46,0.1,118.146,225,0.49,4.191,162,679,0.226
"Cal Raleigh","C","SEA","SEA",11,21534,"B",663728,2024,27,"27 - 27",2024,2024,153,546,628,120,70,16,0,34,73,100,70,4,176,6,6,0,7,6,1,0.22,117,195,64,25,2517,906,1611,8,0,0,0.111,0.28,0.398,0.312,0.436,0.748,0.216,0.251,0.6,0.17,0.311,0.519,0.128,0.174,0.068,0,0.446,0.323,6.261,79.723,12.266,14.273,18.989,7.567,1.946,12.88,21.84,9.693,52.467,5.419,5.762,43.35,-2.573,2.926,117.07,-0.326,1.456,-10.587,12.043,18.237,1.925,1.033,1.878,7,0.64,0.77,0.411,94.209,0.173,84.463,0.082,89.563,0.105,81.103,0.18,85.845,0.051,87.63,NA,NA,0.007,NA,-0.145,3.814,2.5,-1.281,-0.463,-0.159,NA,-0.014,0.879,1.214,-0.487,-0.102,-0.126,NA,0.361,0.761,0.522,0.58,0.817,0.72,0.404,0.635,0.146,0.118,0.264,184,110,82,62,166,148,376,0.489,0.293,0.218,0.165,0.441,0.394,-0.3,0,91.684,137.196,124.169,101.048,110.494,139.625,88.051,87.301,75.022,132.892,153.794,119.904,83.346,90.544,101.751,83.611,127.007,0.347,0.235,0.486,-2.247,3,0,0,0,0,0,0.091,NA,NA,NA,NA,NA,3,0,0.091,0,0.091,0.19,NA,0.102,0.316,0.083,0.037,NA,NA,0.091,0.18,NA,86.069,NA,81.068,94.422,90.227,86.77,NA,NA,93.933,84.574,NA,-2.827,NA,3.374,-2.038,1.037,-5.872,NA,NA,-3.134,2.723,NA,2.076,NA,-6.939,8.406,3.83,0.743,NA,NA,3.099,-0.315,NA,-0.438,NA,-2.143,-4.309,0.634,-0.147,NA,NA,4.002,6.463,NA,-0.092,NA,-0.837,-0.542,0.303,-0.156,NA,NA,1.748,1.427,NA,0.338,0.709,0.522,0.504,0.824,0.72,0.497,19.395,376,90.95,21.209,58,0.154,113.898,181,0.481,3.877,162,628,0.123
"Jackson Merrill","OF","SDP","SDP",29,29490,"L",701538,2024,21,"21 - 21",2024,2024,156,554,593,162,101,31,6,24,77,90,29,1,101,1,5,4,2,16,3,0.292,164,184,109,7,2214,728,1486,12,5,1,0.049,0.17,0.287,0.326,0.5,0.826,0.208,0.318,0.891,0.239,0.359,0.403,0.038,0.13,0.073,0.2,0.26,0.352,19.725,89.093,21.225,4.228,17.931,2.269,1.817,NA,6.497,24.955,51.199,5.288,5.219,42.302,3.729,6.132,129.932,0.959,2.439,-9.291,11.73,15.967,1.615,0.929,0.696,5,2.649,-0.024,0.486,93.841,0.2,84.238,0.086,89.468,0.082,79.709,0.099,85.525,0.047,86.219,NA,NA,0.002,NA,9.345,7.041,1.588,0.814,2.369,2.259,NA,0.869,1.593,0.836,0.447,1.082,2.152,NA,0.383,0.807,0.568,0.701,0.876,0.81,0.435,0.654,0.108,0.102,0.21,152,191,119,57,241,164,462,0.329,0.413,0.258,0.123,0.522,0.355,-0.2,0.4,118.465,59.347,75.403,103.373,123.788,132.154,107.621,120.542,83.45,108.203,109.267,81.528,117.323,105.532,77.365,99.379,112.468,0.376,0.308,0.547,2.77,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.105,0.001,0.082,0.319,0.089,0.041,NA,0.002,0.159,0.202,NA,85.498,80.636,79.544,94.326,90.085,86.736,NA,80.504,93.017,84.262,NA,-6.862,5.69,3.007,-2.474,0.51,-6.025,NA,-4.814,-1.846,0.85,NA,1.303,-9.765,-7.158,8.063,4.066,0.154,NA,-2.559,2.854,-0.744,NA,4.122,-0.05,1.823,4.247,3.375,-0.236,NA,0.816,2.043,4.909,NA,1.777,-1.672,1.002,0.601,1.722,-0.263,NA,20.393,0.579,1.098,NA,0.352,0.771,0.568,0.664,0.871,0.809,0.515,18.769,462,90.366,14.615,52,0.113,111.567,203,0.439,3.66,162,593,0
"Yordan Alvarez","DH/OF","HOU","HOU",21,19556,"L",670541,2024,27,"27 - 27",2024,2024,147,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,14,6,0,0.308,153,219,88,13,2271,846,1425,10,1,1,0.109,0.15,0.726,0.392,0.567,0.959,0.259,0.317,0.699,0.191,0.333,0.476,0.059,0.16,0.065,1,0.313,0.402,46.718,120.999,49.277,-4.318,19.2,-12.32,1.968,NA,-16.638,46.395,50.925,5.259,5.302,42.076,-2.882,3.845,167.821,-0.079,3.964,-9.142,13.105,45.984,4.769,0.985,NA,0,5.702,-1.68,0.484,94.15,0.201,84.147,0.095,89.86,0.097,79.782,0.078,86.311,0.045,86.804,NA,NA,0.028,NA,21.89,5.03,2.278,4.129,3.223,6.167,NA,1.999,1.106,1.06,1.877,1.821,6.046,NA,0.335,0.691,0.477,0.684,0.907,0.813,0.399,0.584,0.089,0.149,0.238,169,173,119,57,215,189,461,0.367,0.375,0.258,0.124,0.466,0.41,-1.2,-0.7,128.473,133.745,66.284,126.957,143.734,167.368,110.965,98.119,80.191,121.994,140.968,89.823,106.912,107.171,76.297,88.325,132.286,0.414,0.305,0.608,-2.803,4,0,3,0,0,0,0.242,NA,-0.391,NA,NA,NA,4,3,0.242,-0.391,-0.149,0.078,NA,0.093,0.351,0.098,0.043,NA,NA,0.126,0.21,NA,86.504,NA,79.813,94.553,90.682,86.521,NA,NA,93.267,84.265,NA,-5.71,NA,3.371,-1.458,0.125,-6.098,NA,NA,0.031,0.108,NA,2.166,NA,-7.589,8.436,4.816,1.018,NA,NA,3.713,-0.299,NA,4.945,NA,4.016,9.527,3.107,4.659,NA,NA,10.591,5.012,NA,2.809,NA,1.903,1.198,1.393,4.754,NA,NA,3.716,1.053,NA,0.312,0.651,0.477,0.635,0.903,0.813,0.488,18.958,461,93.055,18.255,67,0.145,116.974,229,0.497,3.944,161,635,0.639
"Bryce Harper","OF","PHI","PHI",26,11579,"L",547180,2024,31,"31 - 31",2024,2024,145,550,631,157,85,42,0,30,85,87,76,11,138,2,2,1,18,7,4,0.285,156,164,94,7,2474,932,1542,11,1,0,0.12,0.219,0.551,0.373,0.525,0.898,0.24,0.331,0.951,0.227,0.377,0.396,0.043,0.183,0.071,0,0.387,0.38,35.57,109.383,33.947,6.616,19.08,-10.898,1.933,NA,-4.282,33.489,50.221,5.187,4.908,41.493,-0.457,2.767,144.989,-1.42,-0.02,-10.19,10.169,28.03,2.785,0.925,NA,0,2.032,-2.054,0.456,93.979,0.215,84.352,0.066,89.25,0.113,80.036,0.11,86.132,0.038,86.547,0.001,78.5,0.019,NA,10.51,0.282,4.233,1.758,8.342,4.043,-0.462,0.933,0.053,2.581,0.632,3.067,4.256,-23.095,0.366,0.805,0.528,0.581,0.883,0.751,0.368,0.618,0.131,0.096,0.227,143,139,133,51,200,164,415,0.345,0.335,0.32,0.123,0.482,0.395,-0.3,-1.2,115.643,146.165,96.822,118.29,130.09,152.793,111.938,114.751,87.624,106.458,153.24,85.387,95.051,131.306,77.061,91.813,125.206,0.361,0.271,0.488,0.962,5,0,0,0,0,0,0.17,NA,NA,NA,NA,NA,5,0,0.17,0,0.17,0.112,0.001,0.114,0.309,0.072,0.035,0.001,0,0.14,0.216,NA,86.261,80.32,79.875,94.605,89.712,86.294,78.489,81.398,92.956,84.584,NA,-5.302,4.254,3.039,-1.567,0.628,-5.376,-2.1,-3.652,1.997,-0.026,NA,1.767,-9.691,-6.789,8.127,3.68,0.461,-3.199,-2.491,3.662,-0.252,NA,6.766,-0.018,0.525,6.473,4.34,5.442,-0.468,0.511,2.118,2.194,NA,2.452,-0.611,0.187,0.848,2.452,6.255,-23.375,51.057,0.614,0.411,NA,0.338,0.77,0.527,0.522,0.879,0.75,0.438,18.956,415,91.031,13.487,43,0.104,113.828,196,0.472,3.895,162,631,0.021
"Brent Rooker","DH/OF","OAK","OAK",10,19627,"R",667670,2024,29,"29 - 29",2024,2024,145,546,614,160,93,26,2,39,82,112,59,4,177,5,4,0,5,11,3,0.293,124,170,79,14,2378,875,1503,12,0,0,0.096,0.288,0.333,0.365,0.562,0.927,0.269,0.362,0.729,0.212,0.332,0.456,0.082,0.229,0.097,0,0.448,0.392,40.526,112.35,44.704,-1.91,18.566,-14.678,1.903,NA,-16.588,45.528,49.408,5.103,4.912,40.822,0.824,4.276,163.631,-0.223,3.814,-10.128,13.942,47.582,5.024,1.017,0.063,1,3.958,-0.208,0.458,94.34,0.253,84.492,0.069,88.908,0.073,80.069,0.11,84.66,0.038,86.1,NA,NA,0.005,NA,26.057,13.155,3.231,-0.575,0.292,-1.304,NA,2.395,2.185,1.982,-0.333,0.112,-1.448,NA,0.341,0.748,0.502,0.462,0.839,0.684,0.395,0.635,0.159,0.13,0.289,165,120,88,52,177,144,373,0.442,0.322,0.236,0.139,0.475,0.386,-0.1,0.1,122.245,118.273,127.722,118.117,142.528,173.94,126.853,108.629,80.15,116.786,202.354,108.387,91.654,97.95,86.026,89.869,124.568,0.383,0.269,0.57,1.047,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.114,NA,0.071,0.304,0.071,0.033,NA,NA,0.146,0.261,NA,84.957,NA,80.266,94.816,90.184,85.758,NA,NA,94.036,84.573,NA,-1.579,NA,2.516,-2.479,1.123,-4.832,NA,NA,-6.276,3.76,NA,2.177,NA,-7.336,8.435,4.137,0.164,NA,NA,3.194,-0.117,NA,1.533,NA,1.061,12.061,7.307,-2.382,NA,NA,9.963,9.872,NA,0.564,NA,0.632,1.668,4.349,-3.054,NA,NA,2.863,1.592,NA,0.307,0.711,0.501,0.401,0.813,0.682,0.481,19.009,373,91.909,18.917,62,0.166,113.364,185,0.496,3.79,162,614,0.903
"Willy Adames","SS","MIL","MIL",23,15986,"R",642715,2024,28,"28 - 28",2024,2024,161,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.251,138,219,83,25,2736,999,1737,12,0,0,0.108,0.251,0.428,0.331,0.462,0.794,0.211,0.297,0.63,0.189,0.314,0.498,0.114,0.146,0.087,0,0.406,0.342,17.583,98.064,15.992,-1.307,20.803,7.234,2.108,NA,5.927,17.226,46.064,4.757,4.971,38.059,1.234,4.433,119.438,1.317,1.201,-12.951,14.152,23.182,2.435,1.079,NA,0,0.165,0.948,0.516,94.162,0.231,84.72,0.086,89.267,0.068,80.342,0.065,84.876,0.034,86.946,NA,NA,0.005,NA,-3.137,13.097,-1.192,1.058,5.99,-1.571,NA,-0.223,2.072,-0.505,0.566,3.384,-1.707,NA,0.315,0.732,0.494,0.571,0.836,0.739,0.429,0.596,0.129,0.141,0.269,199,148,93,72,225,143,440,0.452,0.336,0.211,0.164,0.511,0.325,1,0.4,101.612,130.527,111.322,105.092,114.453,134.633,100.376,95.335,72.933,133.761,122.406,112.074,95.455,86.599,102.611,97.421,102.97,0.344,0.248,0.474,-0.083,3,0,0,0,0,0,0.137,NA,NA,NA,NA,NA,3,0,0.137,0,0.137,0.068,NA,0.063,0.311,0.102,0.028,NA,NA,0.194,0.234,NA,85.023,NA,79.902,94.733,89.508,86.367,NA,NA,93.464,84.664,NA,0.433,NA,3.179,-1.84,0.776,-2.076,NA,NA,-5.37,2.49,NA,1.623,NA,-6.506,8.151,4.06,0.915,NA,NA,3.589,-0.454,NA,5.694,NA,0.394,-4.917,-2.901,-0.801,NA,NA,-0.756,15.795,NA,3.045,NA,0.231,-0.578,-1.04,-1.04,NA,NA,-0.143,2.472,NA,0.276,0.708,0.494,0.489,0.835,0.739,0.506,18.859,440,88.562,20.6,53,0.12,112.287,178,0.405,4.247,162,688,0
"Marcell Ozuna","DH/OF","ATL","ATL",16,10324,"R",542303,2024,33,"33 - 33",2024,2024,162,606,688,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.302,167,169,104,9,2877,1135,1742,9,0,0,0.108,0.247,0.435,0.378,0.546,0.925,0.244,0.359,0.988,0.236,0.38,0.384,0.053,0.231,0.054,0,0.411,0.395,46.693,127.174,44.427,NA,20.803,-17.5,2.108,NA,-17.5,39.842,45.253,4.674,5.015,37.389,-4.585,1.73,154.001,-1.284,3.593,-10.617,14.21,35.138,3.587,0.931,NA,0,3.84,0.022,0.463,94.071,0.244,85.224,0.076,88.747,0.093,80.789,0.095,85.54,0.026,86.592,0.003,77.7,0.004,NA,19.485,12.809,1.973,2.161,3.325,-1.724,-0.756,1.465,1.83,0.909,0.812,1.213,-2.269,-7.564,0.296,0.749,0.468,0.549,0.814,0.71,0.38,0.577,0.136,0.138,0.273,209,144,87,61,203,176,441,0.475,0.327,0.198,0.139,0.461,0.4,-0.1,-0.2,122.338,130.527,109.392,120.016,135.227,155.482,121.541,119.457,88.26,103.222,193.319,117.706,92.875,81.012,86.934,87.895,126.733,0.405,0.29,0.584,-3.301,1,0,1,0,0,0,0.09,NA,-0.039,NA,NA,NA,1,1,0.09,-0.039,0.05,0.093,NA,0.089,0.277,0.081,0.026,0.004,0.001,0.182,0.248,NA,85.729,NA,80.413,94.766,89.481,85.345,74.593,80.559,93.604,85.133,NA,0.281,NA,2.516,-1.475,1.2,-4.051,-3.617,-2.777,-5.556,3.414,NA,1.728,NA,-6.224,8.231,3.677,1.634,-2.388,-1.898,3.263,-0.322,NA,3.179,NA,1.71,16.882,3.376,0.734,-0.693,-0.253,-0.772,12.315,NA,1.195,NA,0.665,2.124,1.455,0.992,-5.772,-12.638,-0.148,1.725,NA,0.273,0.692,0.468,0.524,0.792,0.709,0.465,18.717,441,92.158,14.409,68,0.154,114.75,235,0.533,4.247,162,688,1
"Corey Seager","SS","TEX","TEX",13,13624,"L",608369,2024,30,"30 - 30",2024,2024,123,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,8,1,1,0.278,157,161,63,6,1872,706,1166,6,0,0,0.099,0.18,0.552,0.353,0.512,0.864,0.234,0.291,0.975,0.165,0.412,0.423,0.037,0.186,0.038,0,0.336,0.365,23.373,85.723,24.59,2.988,16.116,3.855,1.652,NA,6.843,19.384,43.995,4.544,5.002,36.35,-5.205,1.573,140.32,-1.199,3.977,-7.474,11.451,34.843,3.609,0.942,1.142,1,2.287,1.934,0.404,94.186,0.222,84.894,0.095,89.882,0.084,80.013,0.14,85.897,0.054,87.059,NA,NA,0.022,NA,6.335,-0.545,7.436,5.106,4.332,-0.323,NA,0.837,-0.131,4.178,3.252,1.653,-0.317,NA,0.317,0.824,0.53,0.584,0.891,0.784,0.421,0.617,0.114,0.092,0.207,166,129,86,33,183,165,381,0.436,0.339,0.226,0.087,0.48,0.433,-0.4,0.3,115.927,122.391,79.801,114.199,129.678,150.975,101.755,84.809,99.349,108.281,164.358,106.754,96.46,93.714,53.447,90.964,139.737,0.394,0.292,0.574,-4.006,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.154,NA,0.078,0.24,0.103,0.038,NA,NA,0.159,0.228,NA,86.206,NA,79.908,94.872,90.682,86.366,NA,NA,93.535,84.828,NA,-7.372,NA,3.123,-1.995,0.863,-5.833,NA,NA,-1.476,-0.323,NA,2.05,NA,-8.045,8.156,4.006,1.283,NA,NA,3.935,-0.289,NA,3.871,NA,5.121,1.986,4.566,-0.449,NA,NA,2.32,2.474,NA,1.34,NA,3.508,0.442,2.366,-0.624,NA,NA,0.781,0.581,NA,0.269,0.773,0.53,0.475,0.883,0.783,0.519,18.366,381,92.138,13.505,58,0.152,113.252,189,0.496,3.29,162,533,0.081
"Mookie Betts","OF","LAD","LAD",22,13611,"R",605141,2024,31,"31 - 31",2024,2024,116,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,10,16,2,0.289,107,193,97,17,2048,812,1236,5,0,0,0.118,0.11,1.07,0.372,0.491,0.863,0.202,0.294,0.554,0.244,0.27,0.486,0.088,0.098,0.047,0,0.266,0.371,25.247,85.607,25.331,-1.823,15.602,1.175,1.581,NA,-0.648,25.923,42.458,4.385,4.502,35.079,0.592,6.295,141.052,1.269,2.429,-8.656,11.085,33.013,3.478,0.971,0.948,1,2.599,-0.098,0.53,94.196,0.221,84.863,0.069,89.234,0.065,80.045,0.079,85.765,0.034,86.638,0.003,75.5,0.003,NA,15.202,3.822,3.201,-0.219,-2.146,3.62,0.19,1.402,0.846,2.27,-0.164,-1.325,5.247,3.166,0.229,0.654,0.404,0.686,0.949,0.861,0.41,0.609,0.056,0.2,0.256,139,160,98,56,211,130,397,0.35,0.403,0.247,0.141,0.531,0.327,0.5,0.3,117.035,143.462,48.905,117.998,121.587,128.742,99.389,123.484,62.675,130.648,82.469,86.762,114.372,101.138,88.453,101.254,103.748,0.363,0.288,0.462,-0.677,1,0,0,0,0,0,0.19,NA,NA,NA,NA,NA,1,0,0.19,0,0.19,0.082,NA,0.064,0.343,0.064,0.028,0.003,NA,0.183,0.234,NA,85.686,NA,80.105,94.709,89.821,86.361,75.79,NA,93.45,84.941,NA,1.603,NA,1.362,-1.641,0.857,-2.785,-6.569,NA,-3.092,2.807,NA,1.862,NA,-6.796,7.912,3.475,0.783,-3.619,NA,3.284,-0.162,NA,-3.24,NA,-0.391,6.564,2.109,3.3,0.194,NA,7.682,5.609,NA,-1.929,NA,-0.301,0.935,1.61,5.789,3.238,NA,2.054,1.171,NA,0.212,0.588,0.404,0.638,0.936,0.86,0.51,18.448,397,89.917,21.435,24,0.06,109.38,156,0.393,3.185,162,516,0
"Dansby Swanson","SS","CHC","CHC",17,18314,"R",621020,2024,30,"30 - 30",2024,2024,149,534,593,129,84,27,2,16,82,66,54,2,144,2,3,0,7,19,3,0.242,196,131,66,11,2359,865,1494,19,0,0,0.091,0.243,0.375,0.312,0.39,0.701,0.148,0.3,1.496,0.168,0.499,0.333,0.084,0.122,0.097,0,0.361,0.307,-1.723,67.645,-1.025,12.387,17.931,6.55,1.817,NA,18.937,3.417,42.102,4.348,3.912,34.785,4.442,5.819,98.554,1.496,0.506,-9.494,10,9.692,1.038,0.963,1.442,2,0.179,0.347,0.445,94.108,0.289,84.761,0.083,88.785,0.065,80.208,0.091,85.693,0.027,87.587,NA,NA,0.004,NA,-3.988,-5.407,4.874,2.622,0.496,-0.154,NA,-0.381,-0.794,2.5,1.703,0.231,-0.244,NA,0.282,0.74,0.487,0.577,0.802,0.73,0.449,0.619,0.131,0.147,0.278,181,138,74,59,212,122,393,0.461,0.351,0.188,0.15,0.539,0.31,0.1,0,97.866,110.509,107.506,98.933,96.434,94.184,101.448,84.875,115.975,89.581,102.316,114.128,99.65,77.147,94.14,102.77,98.355,0.324,0.248,0.425,2.947,4,0,0,0,0,0,0.44,NA,NA,NA,NA,NA,4,0,0.44,0,0.44,0.085,0,0.058,0.259,0.089,0.029,NA,NA,0.183,0.298,NA,85.865,70.921,80.154,94.694,89.326,86.945,NA,NA,93.719,84.986,NA,0.315,4.562,2.58,-2.556,1.255,-5.114,NA,NA,-4.278,3.535,NA,1.826,-9.392,-6.877,8.172,3.071,0.189,NA,NA,3.446,-0.128,NA,0.213,0.024,0.269,1.091,2.732,-0.021,NA,NA,-4.804,-2.535,NA,0.107,2.424,0.198,0.179,1.307,-0.03,NA,NA,-1.117,-0.361,NA,0.255,0.684,0.487,0.531,0.794,0.731,0.541,18.766,393,89.368,10.351,36,0.092,109.761,167,0.425,3.66,162,593,0
