"PlayerName","position","TeamName","TeamNameAbb","teamid","playerid","Throws","xMLBAMID","Season","Age","AgeR","SeasonMin","SeasonMax","W","L","ERA","G","GS","QS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Pitches","Balls","Strikes","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","TTO%","CFraming","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","RA9-Wins","LOB-Wins","BIP-Wins","BS-Wins","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","C+SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","K-BB%","SIERA","kwERA","RS/9","E-F","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HRFB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","xERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_s_FO","sp_l_FO","sp_p_FO","sp_stuff","sp_location","sp_pitching","PPTV","CPTV","BPTV","DSV","DGV","BTV","rPPTV","rCPTV","rBPTV","rDSV","rDGV","rBTV","EBV","ESV","rFTeamV","rBTeamV","rTV","piCH%","piCS%","piCU%","piFA%","piFC%","piFS%","piKN%","piSB%","piSI%","piSL%","piXX%","pivCH","pivCS","pivCU","pivFA","pivFC","pivFS","pivKN","pivSB","pivSI","pivSL","pivXX","piCH-X","piCS-X","piCU-X","piFA-X","piFC-X","piFS-X","piKN-X","piSB-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCS-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piKN-Z","piSB-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCS","piwCU","piwFA","piwFC","piwFS","piwKN","piwSB","piwSI","piwSL","piwXX","piwCH/C","piwCS/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwKN/C","piwSB/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","piPace","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Q","TG","TIP"
"Chris Sale","P","ATL","ATL",16,10603,"L",519242,2024,35,"35 - 35",2024,2024,18,3,2.381,29,29,18,0,0,0,0,177.2,702,141,48,47,9,39,0,8,4,1,225,191,143,92,8,2818,925,1893,126,5,4,0,11.398,1.976,5.769,7.143,0.456,0.215,1.013,0.314,0.798,2.086,1.336,0.216,0.448,0.336,0.056,0.063,0.026,0,0.389,0,56.154,177.2,NA,NA,56.154,6.41,51.282,6.999,1.334,-0.745,0.588,2.464,2.644,4.041,-9.076,13.117,41.113,4.235,0.947,0.897,0.87,0.831,29,29,4.375,-0.109,0.455,94.752,0.403,78.704,NA,NA,NA,NA,0.142,86.935,NA,NA,NA,NA,0.001,NA,-5.526,24.446,NA,NA,12.061,NA,NA,-0.431,2.154,NA,NA,3.023,NA,NA,0.369,0.646,0.49,0.576,0.812,0.711,0.435,0.694,0.141,0.182,0.323,0,0,0,57.197,53.307,65.69,0.321,0.056,0.265,2.803,2.786,6.383,0.295,187,137,106,72,251,107,430,0.435,0.319,0.247,0.167,0.584,0.249,133.057,63.356,210.015,84.302,40.573,88.064,78.667,106.538,111.088,142.913,68.049,108.573,104.282,90.445,53.625,107.863,90.3,101.033,104.871,111.041,79.082,2.79,55.726,47.674,61.107,NA,NA,NA,57.665,47.526,61.979,57.048,49.699,57.801,59.272,45.903,58.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.91,47.752,63.765,-0.49,3.342,64.182,106.575,98.299,NA,NA,NA,95.601,105.365,101.48,112.753,100.471,95.768,104.602,99.821,104.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.037,102.96,101.549,1,0,2,0,1,0,-0.038,NA,0.079,NA,-0.316,NA,1,2,-0.354,0.079,-0.275,0.144,NA,NA,0.378,NA,NA,NA,NA,0.074,0.403,NA,87.049,NA,NA,94.942,NA,NA,NA,NA,94.095,78.716,NA,9.389,NA,NA,8.628,NA,NA,NA,NA,10.339,-6.349,NA,-0.995,NA,NA,4.931,NA,NA,NA,NA,0.619,-4.162,NA,12.938,NA,NA,-0.36,NA,NA,NA,NA,-5.566,24.546,NA,3.187,NA,NA,-0.034,NA,NA,NA,NA,-2.663,2.163,NA,0.341,0.628,0.49,0.549,0.795,0.712,0.518,19.573,430,86.536,9.592,24,0.056,114.377,132,0.307,1.097,162,177.667
"Tarik Skubal","P","DET","DET",6,22267,"L",669373,2024,27,"27 - 27",2024,2024,18,4,2.391,31,31,22,0,0,0,0,192,753,142,54,51,15,35,0,9,2,0,228,218,171,88,22,2868,883,1985,134,13,4,2,10.688,1.641,6.514,6.656,0.703,0.2,0.922,0.273,0.8,2.495,1.275,0.184,0.457,0.358,0.129,0.088,0.06,0.5,0.369,3.44,52.542,192,NA,NA,52.542,5.86,46.883,6.545,0.136,0.549,0.684,2.484,2.826,4.286,-9.261,13.547,40.039,4.196,0.922,0.916,0.877,0.955,31,31,4.173,0.474,0.539,96.805,0.146,88.84,NA,NA,0.042,78.533,0.273,86.349,NA,NA,NA,NA,0.001,NA,24.996,2.96,NA,1.582,8.631,NA,NA,1.618,0.706,NA,1.319,1.104,NA,NA,0.352,0.698,0.516,0.566,0.801,0.717,0.475,0.687,0.146,0.175,0.321,0,0,0,60.021,60.945,68.449,0.303,0.046,0.256,2.889,2.89,6.281,-0.104,186,172,123,87,272,122,481,0.387,0.358,0.256,0.181,0.565,0.254,123.802,52.682,235,81.65,60.991,84.59,73.643,95.961,110.556,133.188,56.676,95.141,110.176,91.62,76.083,94.659,102.007,106.135,111.74,107.253,81.586,2.68,65.552,67.861,56.153,NA,NA,NA,60.209,56.458,58.847,51.91,53.164,60.261,53.716,52.495,55.603,59.64,45.87,62.32,NA,NA,NA,NA,NA,NA,60.8,58.997,60.666,-0.546,3.259,97.227,103.792,113.587,NA,NA,NA,111.516,104.106,103.3,94.933,105.465,104.472,111.206,98.802,102.855,94.724,91.058,100.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.352,103.029,106.244,2,0,0,0,0,0,-0.125,NA,NA,NA,NA,NA,2,0,-0.125,0,-0.125,0.273,NA,0.042,0.332,NA,NA,NA,NA,0.206,0.148,NA,86.432,NA,78.59,96.995,NA,NA,NA,NA,96.748,88.92,NA,8.617,NA,-3.263,3.762,NA,NA,NA,NA,8.393,-1.318,NA,2.328,NA,-5.863,8.487,NA,NA,NA,NA,6.18,2.456,NA,9.028,NA,1.688,17.249,NA,NA,NA,NA,7.401,2.988,NA,1.166,NA,1.407,1.833,NA,NA,NA,NA,1.267,0.713,NA,0.326,0.66,0.515,0.496,0.798,0.715,0.567,16.602,481,87.448,12.011,32,0.067,113.037,161,0.335,1.185,162,192
"Zack Wheeler","P","PHI","PHI",26,10310,"R",554430,2024,34,"34 - 34",2024,2024,16,7,2.565,32,32,26,0,0,0,0,200,787,139,62,57,20,52,0,8,8,0,224,213,195,92,27,3136,1079,2057,118,17,3,0,10.08,2.34,4.308,6.255,0.9,0.191,0.955,0.246,0.801,3.126,1.092,0.184,0.426,0.39,0.138,0.103,0.08,0,0.376,-1.42,49.328,200,NA,NA,49.328,5.428,43.427,7.015,-0.412,1.999,1.587,3.078,3.301,3.952,-10.394,14.346,39.13,4.001,0.924,0.903,0.873,0.784,32,32,3.432,0.843,0.605,95.112,0.123,84.979,0.098,91.098,0.101,81.842,NA,NA,0.073,86.175,NA,NA,0.001,NA,28.015,4.171,0.316,-2.325,NA,3.699,NA,1.478,1.081,0.103,-0.733,NA,1.615,NA,0.364,0.713,0.511,0.641,0.822,0.747,0.42,0.642,0.129,0.144,0.273,0,0,0,62.001,75.604,81.553,0.285,0.066,0.219,3.317,3.343,5.31,-0.561,176,204,123,105,252,146,503,0.35,0.406,0.245,0.209,0.501,0.29,117.674,75.042,156.811,73.826,80.094,78.217,74.153,83.717,111.505,126.911,80.932,92.504,99.082,105.081,87.389,86.785,114.948,100.222,130.742,95.304,92.246,2.81,NA,NA,NA,47.887,62.221,43.444,67.142,59.464,66.273,64.028,64.647,50.569,63.586,66.175,57.669,NA,NA,NA,45.153,60.704,46.862,52.192,46.002,57.942,63.946,59.391,59.674,-0.741,2.966,NA,NA,NA,110.239,101.356,107.212,100.649,106.27,109.206,111.46,103.135,107.175,128.157,105.755,115.024,NA,NA,NA,91.635,96.724,94.139,93.968,110.231,110.304,NA,NA,NA,106.023,104.321,107.851,1,0,1,0,0,0,-0.035,NA,0.039,NA,NA,NA,1,1,-0.035,0.039,0.004,NA,NA,0.102,0.413,NA,0.073,NA,NA,0.191,0.22,NA,NA,NA,81.973,95.468,NA,86.385,NA,NA,94.831,87.795,NA,NA,NA,5.046,-5.387,NA,-7.227,NA,NA,-9.905,3.528,NA,NA,NA,-6.349,7.499,NA,1.954,NA,NA,2.901,2.327,NA,NA,NA,-3.059,12.156,NA,3.442,NA,NA,16.638,5.578,NA,NA,NA,-0.959,0.939,NA,1.497,NA,NA,2.773,0.808,NA,0.33,0.679,0.511,0.576,0.822,0.746,0.518,18.554,503,86.72,12.953,42,0.083,114.251,167,0.332,1.235,162,200
"Cole Ragans","P","KCR","KCR",7,21846,"L",666142,2024,26,"26 - 26",2024,2024,11,9,3.14,32,32,21,1,0,0,0,186.1,762,146,71,65,15,67,1,6,11,0,223,187,186,86,18,3118,1138,1980,86,10,7,2,10.771,3.236,3.328,7.052,0.725,0.212,1.143,0.29,0.747,2.995,1.005,0.187,0.407,0.405,0.097,0.081,0.053,0.286,0.4,-0.24,44.738,186.1,NA,NA,44.738,4.88,39.043,4.951,0.248,-0.176,0.071,3.164,3.458,2.563,-12.188,14.751,25.738,2.573,1.025,0.984,0.876,1.27,31,32,2.732,-0.232,0.418,95.448,0.133,86.089,0.108,90.961,0.104,80.83,0.237,84.818,NA,NA,NA,NA,0,NA,10.526,-0.583,-0.983,3.087,10.582,NA,NA,0.807,-0.14,-0.292,0.956,1.434,NA,NA,0.331,0.716,0.488,0.577,0.791,0.705,0.409,0.587,0.144,0.145,0.289,0,0,0,74.653,72.603,84.17,0.293,0.088,0.205,3.495,3.509,4.154,0.145,184,151,131,82,244,140,466,0.395,0.324,0.281,0.176,0.524,0.3,124.77,103.915,120.069,86.503,62.846,89.497,91.316,102.276,103.298,128.728,107.212,96.625,98.215,103.564,69.947,96.655,92.435,116.677,108.709,99.31,96.637,3.27,60.956,65.091,54.274,NA,NA,NA,61.011,59.918,56.21,NA,NA,NA,53.162,65.721,46.141,51.805,47.108,50.377,50.822,55.153,55.518,NA,NA,NA,58.203,61.902,53.504,-0.384,3.501,113.554,97.655,102.613,NA,NA,NA,105.384,101.013,105.597,NA,NA,NA,131.629,105.613,113.561,101.254,96.514,101.251,87.956,94.489,91.016,NA,NA,NA,NA,NA,NA,108.475,99.527,103.844,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.236,NA,0.104,0.419,0.114,NA,NA,NA,NA,0.127,NA,84.915,NA,80.91,95.549,90.851,NA,NA,NA,NA,86.076,NA,9.289,NA,-5.981,7.268,0.523,NA,NA,NA,NA,-0.606,NA,5.906,NA,-8.734,9.092,4.627,NA,NA,NA,NA,-0.794,NA,10.08,NA,3.156,11.576,0.698,NA,NA,NA,NA,-1.14,NA,1.368,NA,0.977,0.886,0.195,NA,NA,NA,NA,-0.289,NA,0.293,0.685,0.488,0.529,0.781,0.705,0.497,17.766,466,88.328,15.236,29,0.062,115.433,164,0.352,1.15,162,186.333
"Dylan Cease","P","SDP","SDP",29,18525,"R",656302,2024,28,"28 - 28",2024,2024,14,11,3.47,33,33,16,1,1,0,0,189.1,762,137,80,73,18,65,0,2,12,0,224,185,197,83,16,3188,1189,1999,95,16,4,1,10.648,3.09,3.446,6.512,0.856,0.197,1.067,0.263,0.694,3.098,0.939,0.178,0.398,0.424,0.081,0.091,0.086,0.25,0.403,-1.81,43.84,189.1,NA,NA,43.84,4.761,38.091,3.771,-2.224,1.233,-0.991,2.913,3.435,1.299,-11.127,12.426,13.102,1.329,0.884,0.874,0.867,0.861,32,33,2.295,-0.824,0.435,96.917,0.43,87.696,0.007,91.773,0.119,82.453,0.009,69.714,NA,NA,NA,NA,NA,NA,2.846,27.157,-0.274,-2.239,-1.156,NA,NA,0.205,1.982,-1.247,-0.589,-4.13,NA,NA,0.335,0.706,0.48,0.531,0.813,0.693,0.389,0.596,0.147,0.145,0.293,0,0,0,87.704,77.134,84.802,0.294,0.085,0.209,3.458,3.462,4.516,0.372,203,171,95,69,256,144,471,0.433,0.365,0.203,0.147,0.546,0.307,124.303,99.087,125.449,76.863,76.146,80.641,82.842,89.261,96.521,131.075,104.484,89.736,92.534,114.149,77.852,107.355,103.338,83.019,92.144,103.835,97.578,3.32,32.765,50.839,20,NA,NA,NA,56.702,63.344,45.68,NA,NA,NA,61.311,66.546,58.803,49.815,52.387,49.835,20.876,64.76,31.519,NA,NA,NA,59.789,67.221,52.655,-0.483,3.353,53.507,71.83,68.222,NA,NA,NA,122.6,95.307,101.876,NA,NA,NA,111.772,100.068,104.816,104.635,95.356,101.635,112.733,89.053,90.053,NA,NA,NA,NA,NA,NA,120.808,100.255,107.003,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0.075,0.435,0.006,0.009,NA,NA,NA,0.475,NA,NA,NA,82.285,96.923,91.957,69.617,NA,NA,NA,87.222,NA,NA,NA,1.884,-1.329,1.86,-2.007,NA,NA,NA,1.81,NA,NA,NA,-10.704,9.672,2.812,8.017,NA,NA,NA,-0.744,NA,NA,NA,-1.288,3.858,-0.917,-1.157,NA,NA,NA,28.741,NA,NA,NA,-0.539,0.278,-4.825,-4.133,NA,NA,NA,1.898,NA,0.315,0.669,0.481,0.477,0.807,0.692,0.467,18.625,471,89.012,14.117,40,0.085,116.756,180,0.382,1.169,162,189.333
"Seth Lugo","P","KCR","KCR",7,12447,"R",607625,2024,34,"34 - 34",2024,2024,16,9,3.005,33,33,22,1,0,0,0,206.2,836,177,75,69,16,48,1,9,4,0,181,261,217,113,18,3112,1079,2033,109,22,7,4,7.882,2.09,3.771,7.708,0.697,0.227,1.089,0.277,0.751,3.249,1.203,0.191,0.442,0.367,0.083,0.074,0.084,0.571,0.293,-0.26,43.632,206.2,NA,NA,43.632,4.707,37.653,5.932,0.791,0.435,1.225,3.546,3.83,3.58,-11.971,15.552,35.569,3.615,0.977,0.923,0.869,1.113,32,33,3.43,0.234,0.439,92.198,0.23,82.559,0.073,89.886,0.166,79.752,0.061,87.458,0.031,85.825,NA,NA,0.001,NA,7.087,3.488,5.784,5.268,-1.332,0.66,NA,0.519,0.488,2.537,1.021,-0.701,0.68,NA,0.314,0.661,0.463,0.634,0.897,0.795,0.43,0.644,0.095,0.187,0.281,0,0,0,71.45,78.917,93.433,0.217,0.057,0.159,3.937,4.057,4.747,-0.244,231,240,127,93,324,181,598,0.386,0.401,0.212,0.156,0.542,0.303,91.307,67.122,136.031,94.552,60.44,95.965,86.97,97.405,103.843,95.235,70.01,98.604,106.464,93.839,63.952,94.56,114.487,88.146,96.077,102.762,97.359,3.72,46.57,43.843,52.277,58.645,56.092,54.453,49.279,41.983,55.569,50.183,39.931,53.2,44.706,38.722,46.897,NA,NA,NA,53.005,36.897,59.213,48.284,34.49,55.926,49.742,42.007,53.598,0.141,4.289,93.288,99.878,98.031,126.429,100.441,110.175,74.583,103.142,95.012,68.397,101.406,91.541,125.061,97.471,104.579,NA,NA,NA,97.329,103.115,103.035,92.7,107.394,105.663,NA,NA,NA,96.876,100.677,99.962,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.094,NA,0.229,0.236,0.09,NA,NA,NA,0.186,0.165,NA,86.918,NA,79.568,92.342,89.966,NA,NA,NA,92.232,83.882,NA,-8.142,NA,9.123,-3.943,0.119,NA,NA,NA,-8.896,5.401,NA,1.384,NA,-8.956,8.067,5.667,NA,NA,NA,3.973,-0.127,NA,0.161,NA,10.19,5.338,7.408,NA,NA,NA,3.465,-1.182,NA,0.055,NA,1.431,0.726,2.646,NA,NA,NA,0.598,-0.23,NA,0.285,0.63,0.464,0.579,0.885,0.794,0.518,16.363,598,88.501,10.675,48,0.08,115.097,233,0.39,1.276,162,206.667
"Cristopher Sánchez","P","PHI","PHI",26,20778,"L",650911,2024,27,"27 - 27",2024,2024,11,9,3.319,31,31,17,2,1,0,0,181.2,754,182,76,67,11,44,0,0,7,1,153,315,118,116,4,2798,902,1896,95,23,8,4,7.58,2.18,3.477,9.017,0.545,0.256,1.244,0.313,0.712,2.996,2.669,0.211,0.574,0.215,0.034,0.093,0.073,0.5,0.276,-1.15,42.992,181.2,NA,NA,42.992,4.687,37.495,4.024,0.235,-0.899,-0.663,3.54,3.191,1.6,-12.488,14.087,19.04,1.957,1.026,0.938,0.88,1.287,29,31,1.848,-0.288,0.473,94.529,0.168,84.433,0.001,87,NA,NA,0.357,85.161,NA,NA,NA,NA,0,NA,-7.913,1.172,0.134,NA,15.558,NA,NA,-0.598,0.249,3.359,NA,1.559,NA,NA,0.393,0.673,0.512,0.672,0.865,0.78,0.426,0.658,0.113,0.163,0.275,0,0,0,80.233,72.518,78.897,0.203,0.058,0.145,3.578,4.231,4.706,0.323,233,205,119,99,299,159,557,0.418,0.368,0.214,0.178,0.537,0.285,88.486,69.905,126.582,106.419,48.497,104.866,96.596,106.418,99.129,90.479,71.478,106.225,133.451,57.912,79.428,103.753,104.313,87.562,111.32,102.116,90.721,3.51,62.349,64.189,53.467,NA,NA,NA,NA,NA,NA,58.155,52.22,56.219,52.686,48.153,54.615,NA,NA,NA,20,60.174,20,NA,NA,NA,61.869,58.58,57.683,-0.612,3.159,97.175,105.488,116.224,NA,NA,NA,NA,NA,NA,95.298,100.629,98.317,101.525,101.992,103.396,NA,NA,NA,85.6,52.1,74,NA,NA,NA,NA,NA,NA,96.959,102.648,105.726,1,0,0,0,0,0,-0.035,NA,NA,NA,NA,NA,1,0,-0.035,0,-0.035,0.357,NA,NA,NA,0.001,NA,NA,NA,0.473,0.168,NA,85.136,NA,NA,NA,87.339,NA,NA,NA,94.527,84.436,NA,10.337,NA,NA,NA,2.073,NA,NA,NA,10.258,-0.634,NA,-0.82,NA,NA,NA,1.152,NA,NA,NA,3.378,-3.018,NA,15.429,NA,NA,NA,0.136,NA,NA,NA,-7.251,3.095,NA,1.546,NA,NA,NA,3.392,NA,NA,NA,-0.548,0.657,NA,0.357,0.662,0.512,0.624,0.86,0.779,0.509,17.999,557,87.415,2.396,30,0.054,120.018,191,0.343,1.121,162,181.667
"Garrett Crochet","P","CHW","CHW",4,27463,"L",676979,2024,25,"25 - 25",2024,2024,6,12,3.575,32,32,11,0,0,0,0,146,595,123,61,58,18,33,0,5,3,1,209,156,125,65,13,2395,773,1622,50,20,2,1,12.884,2.034,6.333,7.582,1.11,0.221,1.068,0.318,0.736,2.687,1.248,0.188,0.451,0.361,0.104,0.144,0.128,0.5,0.437,-1.25,42.368,146,NA,NA,42.368,4.653,37.226,3.144,-0.604,-0.905,-1.509,2.753,2.379,1.672,-9.421,11.093,11.109,1.212,0.998,0.953,0.875,1.051,31,32,1.758,-0.083,0.559,97.237,0.099,84.316,0.282,91.586,NA,NA,0.059,91.035,NA,NA,NA,NA,NA,NA,22.905,-5.438,-2.396,NA,-0.614,NA,NA,1.709,-2.295,-0.354,NA,-0.432,NA,NA,0.36,0.729,0.529,0.527,0.791,0.694,0.458,0.64,0.162,0.145,0.307,0,0,0,88.282,62.855,57.334,0.351,0.055,0.296,2.532,2.416,3.082,0.888,137,121,90,61,172,115,348,0.394,0.348,0.259,0.175,0.494,0.33,149.241,65.321,228.472,93.008,96.248,93.266,85.355,112.035,101.764,154.509,67.627,96.882,108.692,92.33,124.897,96.369,99.187,107.34,108.29,93.742,106.296,2.83,49.12,53.007,48.577,NA,NA,NA,67.257,66.062,59.662,50.189,65.592,38.196,56.822,70.7,48.735,NA,NA,NA,70.654,80,64.747,NA,NA,NA,69.429,69.675,64.086,-1.082,2.455,66.168,100.908,101.555,NA,NA,NA,103.641,103.313,102.837,123.191,98.33,97.448,137.917,102.347,107,NA,NA,NA,93.959,104.666,103.264,NA,NA,NA,NA,NA,NA,102.228,103.225,103.088,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.059,NA,NA,0.536,0.285,NA,NA,NA,0.022,0.097,NA,91.11,NA,NA,97.28,91.658,NA,NA,NA,97.992,84.291,NA,9.094,NA,NA,4.65,-2.221,NA,NA,NA,9.141,-8.454,NA,4.238,NA,NA,8.111,2.431,NA,NA,NA,3.955,-1.5,NA,-0.505,NA,NA,20.021,0.196,NA,NA,NA,2.34,-5.559,NA,-0.356,NA,NA,1.562,0.029,NA,NA,NA,4.415,-2.386,NA,0.334,0.681,0.529,0.46,0.783,0.694,0.561,17.455,348,88.299,11.056,32,0.092,111.385,135,0.388,0.901,162,146
