"PlayerName","position","TeamName","TeamNameAbb","teamid","playerid","Throws","xMLBAMID","Season","Age","AgeR","SeasonMin","SeasonMax","W","L","ERA","G","GS","QS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Pitches","Balls","Strikes","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","TTO%","CFraming","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","RA9-Wins","LOB-Wins","BIP-Wins","BS-Wins","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","C+SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","K-BB%","SIERA","kwERA","RS/9","E-F","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HRFB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","xERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_s_FO","sp_l_FO","sp_p_FO","sp_stuff","sp_location","sp_pitching","PPTV","CPTV","BPTV","DSV","DGV","BTV","rPPTV","rCPTV","rBPTV","rDSV","rDGV","rBTV","EBV","ESV","rFTeamV","rBTeamV","rTV","piCH%","piCS%","piCU%","piFA%","piFC%","piFS%","piKN%","piSB%","piSI%","piSL%","piXX%","pivCH","pivCS","pivCU","pivFA","pivFC","pivFS","pivKN","pivSB","pivSI","pivSL","pivXX","piCH-X","piCS-X","piCU-X","piFA-X","piFC-X","piFS-X","piKN-X","piSB-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCS-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piKN-Z","piSB-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCS","piwCU","piwFA","piwFC","piwFS","piwKN","piwSB","piwSI","piwSL","piwXX","piwCH/C","piwCS/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwKN/C","piwSB/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","piPace","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Q","TG","TIP"
"Logan Webb","P","SFG","SFG",30,17995,"R",657277,2024,27,"27 - 27",2024,2024,13,10,3.474,33,33,20,1,1,0,0,204.2,841,202,83,79,11,50,3,2,4,1,172,350,140,126,8,3202,1085,2117,107,18,1,0,7.564,2.199,3.44,8.883,0.484,0.256,1.231,0.315,0.717,2.947,2.5,0.205,0.568,0.227,0.057,0.079,0.051,0,0.277,3.31,41.17,204.2,NA,NA,41.17,4.419,35.349,4.072,0.77,-1.116,-0.347,3.291,3.282,1.132,-14.484,15.615,15.491,1.67,1.02,0.971,0.876,1.03,32,33,2.262,-1.153,0.454,92.619,0.212,83.822,0.025,90.9,NA,NA,0.308,87.398,NA,NA,NA,NA,0.003,NA,15.316,0.936,3.588,NA,-1.39,NA,NA,1.053,0.138,4.484,NA,-0.141,NA,NA,0.346,0.628,0.46,0.697,0.91,0.814,0.403,0.697,0.085,0.199,0.284,0,0,0,86.226,75.893,81.106,0.205,0.059,0.145,3.614,4.225,4.705,0.527,222,253,142,105,332,180,617,0.36,0.41,0.23,0.17,0.538,0.292,88.296,70.51,125.225,104.84,43.047,104.736,95.604,107.096,99.746,91.192,72.823,102.833,132.151,61.236,66.946,89.242,116.218,94.325,106.585,102.36,92.715,4.22,63.299,55.231,62.983,NA,NA,NA,27.628,35.343,32.784,58.155,48.413,59.057,65.532,76.217,60.445,NA,NA,NA,40.91,53.706,46.299,NA,NA,NA,62.019,58.495,63.425,-0.621,3.145,137.118,105.188,112.425,NA,NA,NA,57.364,105.643,88.266,94.516,104.083,101.512,126.169,104.002,113.964,NA,NA,NA,51.996,95.336,88.125,NA,NA,NA,NA,NA,NA,111.322,104.313,106.496,0,0,1,0,0,0,NA,NA,0.039,NA,NA,NA,0,1,0,0.039,0.039,0.308,NA,NA,0.047,0.029,NA,NA,NA,0.404,0.212,NA,87.669,NA,NA,92.836,91.057,NA,NA,NA,92.843,84.038,NA,-5.787,NA,NA,-4.737,-0.914,NA,NA,NA,-8.881,9.339,NA,-3.747,NA,NA,5.161,3.391,NA,NA,NA,-0.324,-1.644,NA,-1.58,NA,NA,-0.557,3.515,NA,NA,NA,17.984,1.095,NA,-0.16,NA,NA,-0.374,3.78,NA,NA,NA,1.391,0.161,NA,0.343,0.583,0.46,0.681,0.896,0.814,0.486,16.181,617,89.814,2.509,43,0.07,120.39,284,0.46,1.263,162,204.667
"Paul Skenes","P","PIT","PIT",27,33677,"R",694973,2024,22,"22 - 22",2024,2024,11,3,1.962,23,23,15,0,0,0,0,133,514,94,31,29,10,32,0,6,2,1,170,156,94,54,15,2127,721,1406,83,12,2,0,11.504,2.165,5.312,6.361,0.677,0.197,0.947,0.284,0.856,2.445,1.66,0.178,0.513,0.309,0.16,0.106,0.077,0,0.412,1.56,38.373,133,NA,NA,38.373,4.292,34.333,5.702,1.154,0.257,1.411,2.442,2.536,3.688,-6.253,9.941,37.224,3.783,0.96,0.935,0.872,1.036,23,23,3.321,0.519,0.392,98.86,0.161,85.462,NA,NA,0.109,83.043,0.054,87.412,0.284,94.038,NA,NA,0.001,NA,5.044,2.622,NA,-0.249,2.648,20.879,NA,0.605,0.767,NA,-0.107,2.323,3.463,NA,0.345,0.7,0.496,0.588,0.833,0.736,0.427,0.623,0.131,0.163,0.294,0,0,0,46.486,60.778,63.071,0.331,0.062,0.268,2.714,2.744,5.617,-0.482,142,98,66,59,175,72,306,0.464,0.32,0.216,0.193,0.572,0.235,134.294,69.443,193.389,75.076,60.221,80.787,73.56,96.428,119.127,147.473,76.257,89.302,119.353,83.313,90.643,115.098,90.77,88.399,120.76,108.792,74.778,2.5,57.789,61.9,52.513,53.977,48.833,54.118,54.775,48.246,57.627,42.205,55.293,31.673,58.758,62.052,49.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.89,52.235,55.633,-0.303,3.623,81.89,107.812,106.789,104.579,99.656,103.528,98.234,107.267,102.784,80.278,95.336,86.183,131.235,100.723,113.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.602,103.403,103.254,0,0,2,0,1,0,NA,NA,0.079,NA,-0.158,NA,0,2,-0.158,0.079,-0.079,0.053,NA,0.108,0.392,NA,NA,NA,NA,0.284,0.162,NA,87.414,NA,82.94,98.868,NA,NA,NA,NA,94.012,85.449,NA,-10.282,NA,3.971,-8.442,NA,NA,NA,NA,-8.257,4.364,NA,1.014,NA,-3.24,5.407,NA,NA,NA,NA,-0.435,2.414,NA,2.363,NA,0.116,5.299,NA,NA,NA,NA,21.541,2.215,NA,2.091,NA,0.051,0.635,NA,NA,NA,NA,3.566,0.642,NA,0.318,0.663,0.496,0.509,0.829,0.73,0.515,18.455,306,87.831,8.405,16,0.052,112.504,110,0.359,0.821,162,133
"George Kirby","P","SEA","SEA",11,25436,"R",669923,2024,26,"26 - 26",2024,2024,14,11,3.534,33,33,20,0,0,0,0,191,778,181,82,75,22,23,0,7,5,1,179,232,229,101,25,2969,937,2032,112,21,6,4,8.435,1.084,7.783,8.529,1.037,0.242,1.068,0.291,0.716,3.261,1.013,0.18,0.413,0.407,0.109,0.096,0.091,0.667,0.288,-0.25,39.224,191,NA,NA,39.224,4.204,33.632,3.094,-0.869,-0.241,-1.11,3.014,3.576,1.364,-11.485,12.849,7.707,0.766,0.901,0.873,0.85,0.906,33,33,0.998,0.517,0.576,96.06,0.239,87.249,0.004,92.273,0.08,83.339,NA,NA,0.101,86.007,0,74,0.001,NA,13.39,8.751,0.088,-3.831,NA,-6.463,-0.034,0.783,1.236,0.796,-1.623,NA,-2.147,-3.441,0.359,0.745,0.531,0.658,0.863,0.786,0.446,0.661,0.114,0.151,0.264,0,0,0,93.518,82.188,87.121,0.23,0.03,0.201,3.562,3.56,5.277,0.273,194,205,169,101,300,167,569,0.342,0.361,0.298,0.178,0.528,0.294,97.705,34.801,280.754,104.62,89.921,102.2,85.321,102.35,98.93,101.204,36.047,92.681,99.518,104.138,83.326,83.608,102.956,123.492,109.852,100.175,94.573,3.39,NA,NA,NA,NA,NA,NA,54.177,47.763,56.016,65.981,57.506,64.246,59.651,56.817,60.959,54.283,51.086,57.85,48.897,52.477,58.595,58.036,62.224,49.253,60.699,53.415,61.974,-0.539,3.268,NA,NA,NA,NA,NA,NA,101.885,106.888,100.889,105.773,107.849,107.574,110.185,103.747,110.299,114.168,109.734,113.002,96.84,99.22,92.65,108.583,100.05,107.819,NA,NA,NA,105.942,105.841,106.31,1,0,1,0,1,0,-0.048,NA,0.313,NA,-0.158,NA,1,1,-0.206,0.313,0.106,NA,NA,0.081,0.343,0.004,0.101,0,NA,0.233,0.237,0,NA,NA,83.431,96.183,92.533,86.127,73.769,NA,96.159,87.314,89.885,NA,NA,5.101,-5.371,0.666,-5.462,-1.713,NA,-9.096,4.542,-5.395,NA,NA,-9.518,8.2,3.97,-0.365,2.767,NA,5.753,-2.528,8.846,NA,NA,-4.382,2.664,0.087,-6.099,-0.035,NA,12.126,9.419,-0.035,NA,NA,-1.818,0.261,0.792,-2.026,-3.505,NA,1.757,1.34,-3.505,0.324,0.708,0.531,0.609,0.854,0.786,0.54,20.209,569,88.986,14.833,46,0.081,113.913,204,0.359,1.179,162,191
"Logan Gilbert","P","SEA","SEA",11,22250,"R",669302,2024,27,"27 - 27",2024,2024,9,12,3.235,33,33,22,1,0,0,0,208.2,803,148,83,75,26,37,1,4,11,0,220,242,202,92,17,3042,1047,1995,75,13,6,5,9.489,1.596,5.946,6.383,1.121,0.194,0.887,0.236,0.695,3.267,1.198,0.172,0.451,0.377,0.084,0.129,0.054,0.833,0.352,1.92,38.335,208.2,NA,NA,38.335,4.076,32.609,3.906,-2.433,2.262,-0.171,2.993,3.111,1.049,-12.025,13.074,15.082,1.681,0.868,0.927,0.875,0.852,32,33,2.939,-1.732,0.323,96.614,0.32,88.504,0.104,92.381,0.118,83.293,NA,NA,0.135,84.529,NA,NA,0,NA,11.272,15.282,0.067,2.977,NA,4.268,NA,1.146,1.569,0.021,0.829,NA,1.041,NA,0.343,0.717,0.503,0.506,0.831,0.705,0.429,0.677,0.149,0.152,0.301,0,0,0,85.6,82.353,75.549,0.274,0.046,0.228,3.191,3.231,3.235,-0.032,244,170,128,73,293,176,542,0.45,0.314,0.236,0.135,0.541,0.325,109.917,51.244,214.497,78.303,97.273,82.032,70.823,83.251,95.994,120.512,56.184,88.517,108.843,96.316,111.638,110.201,89.474,98.019,83.207,102.531,104.451,3.08,NA,NA,NA,57.962,65.198,48.196,56.66,47.468,57.575,39.393,49.251,40.167,60.858,51.619,59.567,NA,NA,NA,58.183,46.628,60.442,57.673,72.371,34.668,59.017,57.112,53.849,-0.435,3.425,NA,NA,NA,124.227,99.329,106.942,106.135,101.31,97.367,91.316,102.144,97.469,146.411,101.772,115.364,NA,NA,NA,116.329,103.837,102.692,99.061,96.14,104.412,NA,NA,NA,121.129,100.731,105.597,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0.117,0.309,0.104,0.136,NA,NA,0.014,0.32,0,NA,NA,83.307,96.768,92.552,84.659,NA,NA,95.681,88.549,59.255,NA,NA,8.028,-3.979,1.842,-3.234,NA,NA,-8.688,0.71,0,NA,NA,-3.543,8.417,5.815,-1.031,NA,NA,5.005,-1.2,0,NA,NA,2.895,12.777,0.438,5.618,NA,NA,0.367,16.192,-0.021,NA,NA,0.813,1.358,0.139,1.36,NA,NA,0.854,1.666,-2.105,0.317,0.687,0.503,0.423,0.832,0.704,0.504,19.636,542,89.597,12.649,39,0.072,114.901,213,0.393,1.288,162,208.667
"Michael King","P","SDP","SDP",29,19853,"R",650633,2024,29,"29 - 29",2024,2024,13,9,2.954,31,30,14,0,0,0,0,173.2,726,144,71,57,17,63,2,7,1,0,201,181,165,102,21,2895,1023,1872,105,11,7,3,10.417,3.265,3.19,7.463,0.881,0.22,1.192,0.29,0.752,3.333,1.097,0.228,0.404,0.368,0.127,0.103,0.061,0.429,0.387,-0.99,36.986,170.1,-0.726,3.1,36.261,3.916,31.33,3.654,-0.414,0.152,-0.262,3.565,3.497,1.745,-10.468,12.213,15.579,1.666,0.933,0.882,0.873,1.149,31,31,1.753,0.117,0.522,93.315,0.178,82.066,0.055,85.756,NA,NA,0.244,86.734,NA,NA,NA,NA,0.002,NA,2.995,1.353,-2.219,NA,11.029,NA,NA,0.198,0.262,-1.387,NA,1.56,NA,NA,0.324,0.633,0.452,0.609,0.825,0.735,0.415,0.661,0.12,0.193,0.313,0,0,0,74.659,82.864,86.308,0.277,0.087,0.19,3.63,3.685,5.441,-0.38,194,155,106,92,243,120,455,0.426,0.341,0.233,0.202,0.534,0.264,121.602,104.701,116.142,88.078,78.403,89.801,92.55,98.524,104.639,123.448,106.291,114.463,93.969,99.235,87.786,105.752,96.551,95.481,126.64,101.595,83.817,3.54,53.031,45.973,53.985,NA,NA,NA,52.163,52.953,50.782,55.064,50.842,53.093,56.281,51.396,50.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.838,50.654,54.271,-0.175,3.814,87.735,103.371,97.245,NA,NA,NA,86.226,102.537,101.01,88.244,104.602,98.129,114.679,96.603,102.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.816,101.59,99.975,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.245,NA,NA,0.241,NA,NA,NA,NA,0.28,0.234,NA,86.804,NA,NA,93.803,NA,NA,NA,NA,92.956,82.967,NA,-10.148,NA,NA,-3.419,NA,NA,NA,NA,-9.307,7.165,NA,1.756,NA,NA,7.725,NA,NA,NA,NA,2.189,0.45,NA,12.047,NA,NA,-1.041,NA,NA,NA,NA,4.815,-1.215,NA,1.699,NA,NA,-0.149,NA,NA,NA,NA,0.594,-0.179,NA,0.305,0.597,0.452,0.564,0.819,0.733,0.504,18.28,455,85.65,13.841,28,0.062,112.376,137,0.301,1.072,162,173.667
"Tanner Houck","P","BOS","BOS",3,19879,"R",656557,2024,28,"28 - 28",2024,2024,9,10,3.123,30,30,19,1,1,0,0,178.2,743,156,75,62,11,48,1,16,2,0,154,292,125,105,8,2736,927,1809,107,16,2,1,7.757,2.418,3.208,7.858,0.554,0.23,1.142,0.282,0.709,3.318,2.336,0.201,0.559,0.239,0.064,0.088,0.055,0.5,0.287,-1.4,36.397,178.2,NA,NA,36.397,3.902,31.218,4.221,0.17,0.148,0.319,3.908,3.575,1.755,-11.432,13.186,20.384,2.07,0.968,0.881,0.878,0.987,29,30,3.078,-1.266,0.324,93.588,0.414,83.234,0.015,87.075,NA,NA,NA,NA,0.248,88.497,NA,NA,0.002,NA,3.58,4.516,-0.367,NA,NA,10.293,NA,0.404,0.399,-0.917,NA,NA,1.518,NA,0.338,0.637,0.465,0.652,0.887,0.789,0.425,0.649,0.098,0.193,0.291,0,0,0,73.353,80.191,87.094,0.207,0.065,0.143,3.729,4.254,5.39,-0.194,236,187,101,66,298,160,525,0.45,0.357,0.193,0.126,0.569,0.305,89.861,77.641,115.739,96.394,48.064,97.035,91.21,99.331,97.939,91.171,78.773,103.735,134.854,61.2,76.326,110.249,101.802,80,77.812,107.863,98.217,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.998,47.376,49.248,58.535,45.986,54.839,NA,NA,NA,52.307,57.152,55.405,53.1,43.312,63.076,57.976,48.886,55.832,-0.37,3.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.017,101.849,96.876,116.465,97.86,108.104,NA,NA,NA,95.338,92.58,93.195,116.068,102.854,108.888,NA,NA,NA,108.422,100.287,104.41,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.248,NA,NA,0,0.01,NA,NA,NA,0.323,0.418,NA,88.554,NA,NA,93.768,87.954,NA,NA,NA,93.665,83.348,NA,-7.828,NA,NA,-5.601,-0.131,NA,NA,NA,-9.271,9.559,NA,-2.811,NA,NA,5.066,-0.003,NA,NA,NA,-0.756,-2.461,NA,11.306,NA,NA,0,-0.765,NA,NA,NA,6.757,6.437,NA,1.665,NA,NA,0,-2.733,NA,NA,NA,0.764,0.563,NA,0.294,0.619,0.466,0.582,0.877,0.79,0.53,17.265,525,89.319,3.876,30,0.057,113.831,217,0.413,1.103,162,178.667
"Sonny Gray","P","STL","STL",28,12768,"R",543243,2024,34,"34 - 34",2024,2024,13,9,3.842,28,28,13,0,0,0,0,166.1,671,142,79,71,21,39,0,3,7,1,203,176,147,93,11,2486,835,1651,81,10,9,2,10.984,2.11,5.205,7.683,1.136,0.226,1.088,0.299,0.679,3.124,1.197,0.224,0.423,0.353,0.075,0.143,0.057,0.222,0.392,-0.4,35.585,166.1,NA,NA,35.585,3.838,30.7,2.418,-1.246,-0.173,-1.419,3.471,2.819,1.207,-11.031,12.238,5.729,0.657,0.996,0.917,0.871,1.119,28,28,0.608,0.604,0.417,92.568,0.203,84.801,0.177,87.743,0.139,79.98,0.064,88.354,NA,NA,NA,NA,0.001,NA,5.507,5.043,-0.75,2.199,-3.866,NA,NA,0.532,1.003,-0.17,0.636,-2.447,NA,NA,0.339,0.678,0.483,0.52,0.859,0.723,0.426,0.636,0.134,0.178,0.312,0,0,0,94.857,78.601,69.922,0.303,0.058,0.244,3.031,3.033,4.383,0.717,179,153,93,64,216,145,426,0.421,0.36,0.219,0.151,0.508,0.341,128.226,67.673,189.48,90.684,101.121,92.355,84.494,101.518,94.526,134.896,71.193,112.391,98.402,95.21,121.72,104.463,102.033,89.685,94.316,96.681,108.428,3.7,46.64,39.195,44.893,51.348,54.394,49.666,67.383,64.265,56.772,60.919,43.766,60.367,58.182,68.484,43.279,NA,NA,NA,60.178,58.051,52.149,NA,NA,NA,61.889,57.948,53.872,-0.613,3.157,69.164,91.435,85.506,118.953,96.375,96.52,107.103,96.873,100.799,93.137,114.162,111.836,152.227,113.819,125.131,NA,NA,NA,92.308,97.872,95.718,NA,NA,NA,NA,NA,NA,110.415,102.684,104.781,2,0,1,0,1,0,-0.125,NA,0.164,NA,-0.158,NA,2,1,-0.283,0.164,-0.119,0.064,NA,0.139,0.236,0.076,NA,NA,NA,0.179,0.306,NA,88.407,NA,80.194,92.577,88.776,NA,NA,NA,92.904,85.715,NA,-6.726,NA,6.848,0.501,2.848,NA,NA,NA,-6.772,6.952,NA,2.054,NA,-9.818,6.145,0.768,NA,NA,NA,3.92,-3.239,NA,-3.821,NA,2.263,-0.002,1.552,NA,NA,NA,7.594,4.168,NA,-2.418,NA,0.656,0,0.825,NA,NA,NA,1.71,0.548,NA,0.312,0.642,0.483,0.444,0.85,0.723,0.518,20.59,426,89.554,11.474,38,0.089,113.512,161,0.378,1.027,162,166.333
"Tyler Glasnow","P","LAD","LAD",22,14374,"R",607192,2024,30,"30 - 30",2024,2024,9,6,3.493,22,22,14,0,0,0,0,134,522,92,53,52,15,35,0,0,12,1,168,153,110,52,11,2012,703,1309,82,11,2,1,11.284,2.351,4.8,6.179,1.007,0.189,0.948,0.253,0.698,2.898,1.391,0.165,0.486,0.349,0.1,0.136,0.072,0.5,0.418,-1.06,34.515,134,NA,NA,34.515,3.814,30.51,3.195,-1.695,1.075,-0.619,2.698,2.684,0.489,-7.901,8.389,10.285,1.086,0.864,0.848,0.857,0.82,22,22,2.148,-1.582,0.538,96.389,0.276,90.025,NA,NA,0.186,83.805,NA,NA,NA,NA,NA,NA,0,NA,8.824,5.63,NA,7.236,NA,NA,NA,0.816,1.014,NA,1.93,NA,NA,NA,0.314,0.674,0.483,0.475,0.841,0.715,0.469,0.64,0.138,0.167,0.304,0,0,0,86.444,70.732,66.645,0.322,0.067,0.255,2.9,2.908,5.507,0.595,120,129,68,54,170,93,319,0.379,0.407,0.215,0.17,0.536,0.293,131.724,75.386,174.732,72.93,89.657,77.282,73.591,86.066,97.162,143.504,82.128,82.992,112.97,94.09,116.187,93.891,115.337,87.917,106.691,102.016,93.237,2.62,NA,NA,NA,44.948,72.678,40.389,64.555,64.334,56.589,60.457,64.994,59.583,51.987,66.486,55.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.672,67.703,54.647,-0.413,3.457,NA,NA,NA,138.696,97.466,110.222,118.064,100.648,102.727,101.192,106.123,108.274,108.312,103.554,109.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.717,101.261,106.298,1,0,0,0,0,0,-0.063,NA,NA,NA,NA,NA,1,0,-0.063,0,-0.063,NA,NA,0.185,0.452,NA,NA,NA,NA,0.086,0.277,NA,NA,NA,83.781,96.41,NA,NA,NA,NA,96.579,90.049,NA,NA,NA,1.967,-0.116,NA,NA,NA,NA,-6.167,1.46,NA,NA,NA,-8.147,8.5,NA,NA,NA,NA,7.406,-0.674,NA,NA,NA,7.044,8.766,NA,NA,NA,NA,1.258,6.677,NA,NA,NA,1.889,0.964,NA,NA,NA,NA,0.731,1.199,NA,0.29,0.654,0.484,0.396,0.84,0.715,0.532,18.425,319,88.954,9.211,26,0.082,117.572,126,0.395,0.827,162,134
"Hunter Greene","P","CIN","CIN",18,22182,"R",668881,2024,24,"24 - 24",2024,2024,9,5,2.754,26,26,13,0,0,0,0,150.1,611,96,47,46,12,57,0,19,7,1,169,123,175,64,26,2563,916,1647,65,5,4,0,10.118,3.412,2.965,5.747,0.718,0.179,1.018,0.237,0.805,3.472,0.703,0.177,0.34,0.483,0.149,0.069,0.041,0,0.39,-0.56,34.705,150.1,NA,NA,34.705,3.77,30.156,5.465,0.061,1.635,1.696,3.476,4.195,3.165,-8.653,11.818,31.288,3.119,1.036,0.959,0.873,1.271,26,26,3.136,-0.082,0.553,97.672,0.347,86.891,NA,NA,0.017,80.955,NA,NA,0.083,87.005,NA,NA,0,NA,20.683,5.607,NA,-1.322,NA,-1.668,NA,1.461,0.631,NA,-3.005,NA,-0.783,NA,0.327,0.737,0.503,0.599,0.825,0.741,0.429,0.622,0.13,0.137,0.267,0,0,0,62.788,80.602,103.162,0.277,0.093,0.183,3.805,3.766,3.891,-0.719,142,120,104,73,196,97,366,0.388,0.328,0.284,0.199,0.536,0.265,118.111,109.433,107.93,67.833,63.933,73.407,79.024,80.629,112.095,123.331,114.269,88.882,79.028,130.254,58.426,96.229,92.926,116.46,124.921,101.872,84.228,3.03,NA,NA,NA,57.405,47.238,51.292,59.673,57.629,52.88,NA,NA,NA,48.849,48.586,45.118,NA,NA,NA,NA,NA,NA,49.801,54.452,34.117,56.369,54.343,48.683,-0.27,3.672,NA,NA,NA,117.511,95.864,100.52,123.493,101.739,104.377,NA,NA,NA,124.775,95.839,103.253,NA,NA,NA,NA,NA,NA,120.401,89.444,102.62,NA,NA,NA,123.607,98.583,103.771,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0.013,0.552,NA,0.082,NA,NA,NA,0.352,NA,88.97,NA,80.561,97.795,NA,87.099,NA,NA,NA,86.92,NA,-5.314,NA,6.877,-5.225,NA,-5.538,NA,NA,NA,3.407,NA,8.04,NA,-2.33,8.621,NA,1.345,NA,NA,NA,1.126,NA,-0.035,NA,-1.137,22.156,NA,-1.656,NA,NA,NA,5.386,NA,-3.505,NA,-3.344,1.565,NA,-0.789,NA,NA,NA,0.597,NA,0.291,0.706,0.503,0.549,0.816,0.741,0.512,16.604,366,87.264,20.812,19,0.052,114.199,117,0.32,0.928,162,150.333
"Corbin Burnes","P","BAL","BAL",2,19361,"R",669203,2024,29,"29 - 29",2024,2024,15,9,2.918,32,32,22,0,0,0,0,194.1,784,165,76,63,22,48,0,2,7,3,181,264,189,95,23,2997,1064,1933,134,16,5,4,8.383,2.223,3.771,7.642,1.019,0.225,1.096,0.269,0.755,3.547,1.397,0.173,0.482,0.345,0.122,0.116,0.061,0.8,0.32,-0.58,35.245,194.1,NA,NA,35.245,3.738,29.907,4.396,-0.094,0.751,0.657,3.388,3.546,1.303,-11.639,12.942,18.061,1.891,0.878,0.816,0.868,0.649,32,32,1.719,-0.234,0.08,97,0.145,87.221,0.448,95.318,0.216,80.323,0.111,89.263,NA,NA,NA,NA,0.001,NA,-2.417,3.28,19.231,2.374,0.578,NA,NA,-1.007,0.756,1.433,0.366,0.175,NA,NA,0.36,0.679,0.487,0.564,0.871,0.735,0.399,0.639,0.129,0.156,0.286,0,0,0,74.304,87.803,86.372,0.231,0.061,0.17,3.749,3.93,6.206,-0.63,235,202,116,105,288,160,553,0.425,0.365,0.21,0.19,0.521,0.289,97.102,71.382,136.031,93.736,88.379,94.943,87.557,94.824,104.284,101.551,74.653,89.402,116.138,88.144,100.961,104.025,104.201,87.063,117.301,98.777,93.067,3.27,50.384,60.095,47.493,53.312,55.596,50.984,NA,NA,NA,38.828,63.42,30.749,58.558,71.868,47.837,NA,NA,NA,66.608,53.79,49.281,NA,NA,NA,58.963,61.616,45.241,-0.431,3.43,110.455,98.49,102.754,109.371,100.887,106.15,NA,NA,NA,103.646,94.854,88.598,133.448,104.576,120.122,NA,NA,NA,124.937,105.495,107.681,NA,NA,NA,NA,NA,NA,119.567,102.644,107.013,0,0,1,0,3,0,NA,NA,0.039,NA,-0.474,NA,0,1,-0.474,0.039,-0.435,0.11,NA,0.219,NA,0.45,NA,NA,NA,0.078,0.143,NA,89.254,NA,80.39,NA,95.321,NA,NA,NA,97.007,87.258,NA,-8.166,NA,5.802,NA,1.405,NA,NA,NA,-7.012,5.436,NA,2.863,NA,-8.888,NA,6.24,NA,NA,NA,5.031,-1.638,NA,0.663,NA,2.109,NA,18.681,NA,NA,NA,-1.64,4.035,NA,0.2,NA,0.322,NA,1.386,NA,NA,NA,-0.698,0.945,NA,0.331,0.657,0.486,0.495,0.87,0.736,0.477,19.527,553,87.506,10.982,37,0.067,114.483,175,0.316,1.2,162,194.333
