"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","home_team_parent_org","away_team_parent_org"
"SL",2024-03-31,83.6,-0.82,6.49,"Elder, Bryce",641505,693821,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Jonathan Davis strikes out swinging.","R","R","R","JAX","GWN","S",2,"",3,2,2024,0.15,-0.06,1.25,1.56,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,592205,NA,NA,4.43519298685966,-121.603688664111,-4.78341337768459,0.648726055210543,24.1568452093136,-32.010297313326,3.02,1.53,NA,NA,NA,83,NA,6,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.55,NA,0,0,1,0,0,NA,49,6,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",NA,-0.003,-0.129,NA,NA,"Miami Marlins","Atlanta Braves"
"SL",2024-03-31,84,-0.95,5.57,"Hoffmann, Andrew",670237,694851,"strikeout","called_strike",NA,NA,NA,NA,14,"Jake Slaughter called out on strikes.","R","R","R","OMA","IOW","S",2,"",0,2,2024,0.65,0.23,0.84,1.88,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,682515,NA,NA,2.89302927422335,-122.353214702112,-2.64452569108342,5.95783100989901,23.346395658421,-29.5974296598159,3.27,1.65,NA,NA,NA,85.3,2408,7,752640,694851,682515,668472,686475,680769,687478,670231,671221,694355,53.52,NA,0,0,1,0,0,NA,34,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",82,0.008,-0.053,NA,NA,"Kansas City Royals","Chicago Cubs"
"FF",2024-03-31,90.2,1.52,6.36,"Carpenter, Ryan",687597,543001,"","foul",NA,NA,NA,NA,12,"Jordan Beck triples (1) on a sharp line drive to center fielder Tim Locastro.","R","R","L","ABQ","ELP","S",NA,"",1,2,2024,0.35,0.95,0.45,3.47,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,608700,NA,NA,-3.40581051422363,-131.564068575898,-3.42226640765675,4.71697797204662,21.3750487724518,-20.5319648940834,3.29,1.66,239,75.7,56,91.4,2136,6.4,752117,543001,608700,664954,676946,687867,669200,672359,641796,668751,54.12,NA,NA,NA,NA,NA,NA,NA,44,7,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",146,0,0,NA,NA,"Colorado Rockies","San Diego Padres"
"FF",2024-03-31,92.2,-0.9,5.82,"Dallas, Chad",675656,689149,"","ball",NA,NA,NA,NA,14,"Kevin Smith strikes out swinging.","R","R","R","BUF","SWB","B",NA,"",0,2,2024,0,0.79,1.31,2.19,NA,702332,677592,2,5,"Top",NA,NA,NA,NA,668721,NA,NA,5.61475956526782,-134.291287827058,-5.20895471473213,-1.11192774378313,26.3533604710895,-21.6466086122757,3.16,1.59,NA,NA,NA,92.8,2087,6.4,753613,689149,668721,687462,671088,680718,677870,672463,686490,683770,54.12,NA,NA,NA,NA,NA,NA,NA,41,4,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shade","Strategic",183,0,0.075,NA,NA,"Toronto Blue Jays","New York Yankees"
"CU",2024-03-31,78.7,-0.94,6.3,"Priester, Quinn",674441,682990,"","ball",NA,NA,NA,NA,14,"Bats challenged (pitch result), call on the field was overturned: Jacob Hurtubise walks.","R","L","R","LOU","IND","B",NA,"",2,2,2024,0.51,-0.85,0.22,1.25,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,670190,NA,NA,1.57739555996309,-114.710104195112,-2.6000024272033,4.1842927121972,20.65719031486,-39.4314610270311,3.14,1.59,NA,NA,NA,78.7,2587,6.2,752938,682990,670190,682650,678894,642727,693304,640460,665482,641943,54.34,NA,NA,NA,NA,NA,NA,NA,45,5,"Curveball",0,3,0,3,3,0,0,3,"Standard","Standard",50,0,0.041,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"SI",2024-03-31,91,-2.57,5.91,"Sampson, Adrian",694376,592716,"","foul",NA,NA,NA,NA,8,"Shay Whitcomb flies out to left fielder Trevor Hauver.","R","R","R","RR","SUG","S",NA,"",2,2,2024,-1.11,0.82,0.11,2.11,NA,NA,694175,1,5,"Top",NA,NA,NA,NA,669087,NA,NA,9.13906654101975,-132.248761804093,-5.4104396638728,-14.9255099401824,26.960512718883,-21.5503159716851,3.25,1.64,316,91.4,30,91.4,2001,6.5,751740,592716,669087,679822,622110,673995,680716,669386,609274,660758,53.99,NA,NA,NA,NA,NA,NA,NA,42,6,"Sinker",8,2,2,8,2,8,2,8,"Standard","Standard",229,0,0,NA,NA,"Texas Rangers","Houston Astros"
"CH",2024-03-31,85.6,-1.64,6.02,"Suárez, Albert",592348,544150,"","called_strike",NA,NA,NA,NA,1,"Niko Goodrum strikes out swinging.","R","L","R","NOR","DUR","S",NA,"",0,0,2024,-1.33,0.78,-0.34,3.22,NA,NA,678545,2,7,"Top",NA,NA,NA,NA,668974,NA,NA,5.79277873994104,-124.572964975441,-1.93157563075286,-15.0425056990671,23.5649877316427,-23.8681067153505,3.34,1.69,NA,NA,NA,86.5,2030,6.7,752715,544150,668974,695257,660636,691723,702616,681393,669065,677008,53.77,NA,NA,NA,NA,NA,NA,NA,63,1,"Changeup",1,16,16,1,16,1,16,1,"Standard","Standard",234,0,-0.051,NA,NA,"Baltimore Orioles","Tampa Bay Rays"
"FF",2024-03-31,94.4,-2.04,6.43,"Rutledge, Jackson",687551,671131,"","foul",NA,NA,NA,NA,11,"Drew Gilbert strikes out swinging.","R","L","R","SYR","ROC","S",NA,"",2,1,2024,-0.56,1.21,-0.2,3.49,NA,578428,676625,1,5,"Bot",NA,NA,NA,NA,686251,NA,NA,6.03828731112718,-137.529567563394,-4.74727915697229,-8.3579021229899,25.3064744593296,-15.8934084759665,3.06,1.54,251,75.7,48,94.9,2417,6.2,752338,671131,686251,660766,671117,666906,686639,695578,696285,663905,54.34,NA,NA,NA,NA,NA,NA,NA,44,4,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard",225,0,-0.148,NA,NA,"New York Mets","Washington Nationals"
"FC",2024-03-31,87.8,-2.27,6.44,"Buchanan, David",687208,571527,"","ball",NA,NA,NA,NA,14,"Nathan Hickey homers (1) on a fly ball to center field.   Nick Sogard scores.","R","L","R","LHV","WOR","B",NA,"",0,0,2024,0.14,0.83,0.55,0.94,NA,NA,686765,2,4,"Top",NA,NA,NA,NA,605244,NA,NA,6.49164658444588,-127.503133585523,-8.84952599585592,0.245557609346472,25.242632368326,-21.5398692836212,3.22,1.63,NA,NA,NA,87.3,2312,6,753015,571527,605244,669742,665019,674951,664068,621311,670276,656669,54.51,NA,NA,NA,NA,NA,NA,NA,31,1,"Cutter",2,3,3,2,3,2,3,2,"Standard","Standard",204,0,0.041,NA,NA,"Philadelphia Phillies","Boston Red Sox"
"FF",2024-03-31,94,3.42,5.72,"Lodolo, Nick",640460,666157,"walk","ball",NA,NA,NA,NA,13,"Dustin Peterson walks.   Carter Bins to 2nd.","R","R","L","LOU","IND","B",NA,"",3,2,2024,1.57,0.88,-0.41,1.42,NA,NA,670190,1,5,"Top",NA,NA,NA,NA,642851,NA,NA,-13.3101984525333,-136.079592814691,-7.33101047513616,22.3841023053836,28.4557350474509,-19.7149892254664,3.26,1.65,NA,NA,NA,93.5,2422,6.2,752938,666157,642851,685127,688005,541650,570481,674441,694362,677956,54.31,NA,0.689131,0.7,1,0,0,NA,31,9,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",123,-0.036,0.33,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"FF",2024-03-31,91.8,-1.79,5.83,"Estes, Joey",545341,683155,"","foul",NA,NA,NA,NA,7,"Randal Grichuk called out on strikes.","R","R","R","LV","RNO","S",NA,"",1,0,2024,-1.03,1.11,-0.65,2.04,678489,NA,NA,2,4,"Top",NA,NA,NA,NA,691016,NA,NA,5.07963503436668,-133.584884212019,-6.18579323471462,-13.3761700607134,25.7652871025761,-17.7049458963084,3.3,1.67,96,111.1,4,91.7,2211,6,751961,683155,691016,669722,669137,672478,691777,670860,663662,680474,54.52,NA,NA,NA,NA,NA,NA,NA,31,2,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Standard","Standard",218,0,-0.084,NA,NA,"Oakland Athletics","Arizona Diamondbacks"
"SL",2024-03-31,81.6,-0.89,6.51,"Elder, Bryce",641505,693821,"","called_strike",NA,NA,NA,NA,8,"Jonathan Davis strikes out swinging.","R","R","R","JAX","GWN","S",NA,"",3,1,2024,0.05,-0.16,0.05,1.73,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,592205,NA,NA,2.0232816214137,-118.893137087844,-3.8857329540376,0.121640404943372,21.6882266325634,-33.2155159933738,3.02,1.53,NA,NA,NA,81.3,NA,5.9,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.6,NA,NA,NA,NA,NA,NA,NA,49,5,"Slider",0,5,0,5,5,0,0,5,"Standard","Standard",NA,0,-0.036,NA,NA,"Miami Marlins","Atlanta Braves"
"FC",2024-03-31,87.7,-2.3,6.42,"Buchanan, David",686765,571527,"single","hit_into_play",NA,NA,NA,NA,6,"Nick Sogard singles on a soft fly ball to left fielder David Dahl.   Dalton Guthrie scores.","R","L","R","LHV","WOR","X",7,"fly_ball",1,1,2024,0.56,0.32,0.4,2.62,656495,NA,NA,2,4,"Top",91.08,117.06,NA,NA,605244,NA,NA,5.31076646947932,-127.498618413461,-3.63430928407925,4.85487768673605,29.5968880506168,-28.0788183155115,3.25,1.64,224,71.8,37,86.6,2305,5.9,753015,571527,605244,669742,665019,674951,664068,621311,670276,656669,54.56,0.437,0.408,0.9,1,1,0,3,30,3,"Cutter",2,2,2,2,3,2,3,2,"Standard","Standard",181,-0.116,0.879,NA,NA,"Philadelphia Phillies","Boston Red Sox"
"CH",2024-03-31,86.9,-1.21,5.6,"Hoffmann, Andrew",670237,694851,"","called_strike",NA,NA,NA,NA,9,"Jake Slaughter called out on strikes.","R","R","R","OMA","IOW","S",NA,"",0,1,2024,-0.67,0.55,0.54,2.15,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,682515,NA,NA,5.60123687490896,-126.468045296435,-3.26982758816419,-8.26561220517856,24.0554483678037,-25.8605447399185,3.27,1.65,NA,NA,NA,88,1541,6.8,752640,694851,682515,668472,686475,680769,687478,670231,671221,694355,53.67,NA,NA,NA,NA,NA,NA,NA,34,2,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",231,0,-0.026,NA,NA,"Kansas City Royals","Chicago Cubs"
"SI",2024-03-31,93.5,-0.86,5.98,"Priester, Quinn",674441,682990,"","ball",NA,NA,NA,NA,11,"Bats challenged (pitch result), call on the field was overturned: Jacob Hurtubise walks.","R","L","R","LOU","IND","B",NA,"",1,2,2024,-0.89,0.39,-1.44,3.27,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,670190,NA,NA,0.498664494783396,-136.266401979442,-2.13919608077567,-11.2557329516236,29.80821124256,-27.0475097611872,3.14,1.59,NA,NA,NA,93.7,2060,6.3,752938,682990,670190,682650,678894,642727,693304,640460,665482,641943,54.18,NA,NA,NA,NA,NA,NA,NA,45,4,"Sinker",0,3,0,3,3,0,0,3,"Standard","Standard",220,0,0.02,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"CH",2024-03-31,84.8,-1.65,5.5,"Daniel, Davis",665998,669721,"single","hit_into_play",NA,NA,NA,NA,1,"Ismael Munguia singles on a line drive to right fielder Jordyn Adams.","R","L","R","SAC","SL","X",9,"line_drive",0,1,2024,-1.54,0.95,-0.39,2.78,NA,NA,NA,1,6,"Bot",175.98,129.17,NA,NA,595453,NA,NA,6.05779141591789,-123.338681595566,-1.91967535830484,-16.9606969295012,24.283461106022,-22.3156246128881,3,1.52,150,88.5,11,85.2,1844,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.94,0.617,0.555,0.9,1,1,0,4,41,2,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",227,0.047,0.329,NA,NA,"San Francisco Giants","Los Angeles Angels"
"CH",2024-03-31,87.2,3.49,5.71,"Lodolo, Nick",640460,666157,"","foul",NA,NA,NA,NA,9,"Dustin Peterson walks.   Carter Bins to 2nd.","R","R","L","LOU","IND","S",NA,"",3,2,2024,1.45,0.14,0.36,1.99,NA,NA,670190,1,5,"Top",NA,NA,NA,NA,642851,NA,NA,-10.5214489715452,-126.56239233964,-3.06926162577156,17.6834440787211,24.7157136184974,-30.2645908077167,3.26,1.65,2,74.8,-47,87.5,1986,6.5,752938,666157,642851,685127,688005,541650,570481,674441,694362,677956,54,NA,NA,NA,NA,NA,NA,NA,31,8,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",108,0,0,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"CH",2024-03-31,88.6,-2.28,6.21,"Rutledge, Jackson",687551,671131,"","ball",NA,NA,NA,NA,13,"Drew Gilbert strikes out swinging.","R","L","R","SYR","ROC","B",NA,"",1,1,2024,-1.17,0.49,-0.05,0.68,NA,578428,676625,1,5,"Bot",NA,NA,NA,NA,686251,NA,NA,7.84592556475337,-128.721158812284,-8.50102137881762,-14.5489264451162,24.0383909553615,-25.2217457018828,3.06,1.54,NA,NA,NA,88.7,1960,6.2,752338,671131,686251,660766,671117,666906,686639,695578,696285,663905,54.26,NA,NA,NA,NA,NA,NA,NA,44,3,"Changeup",1,5,1,5,5,1,1,5,"Standard","Standard",235,0,0.114,NA,NA,"New York Mets","Washington Nationals"
"FF",2024-03-31,93,-0.7,6.03,"Myers, Tobias",668723,668964,"","ball",NA,NA,NA,NA,11,"Ryan Vilade walks.","R","R","R","TOL","NAS","B",NA,"",2,2,2024,-0.27,1.54,-0.56,4.17,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,685277,NA,NA,0.941629041365065,-135.416914642966,-2.32485567679692,-3.4992293130109,32.695183032279,-13.0730418183946,3.3,1.67,NA,NA,NA,92.9,2000,6.4,752265,668964,685277,680911,686555,657562,681962,676896,686894,676551,54.09,NA,NA,NA,NA,NA,NA,NA,43,7,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard",190,0,0.123,NA,NA,"Detroit Tigers","Milwaukee Brewers"
"SL",2024-03-31,79.3,1.98,6.02,"Carpenter, Ryan",687597,543001,"","foul",NA,NA,NA,NA,7,"Jordan Beck triples (1) on a sharp line drive to center fielder Tim Locastro.","R","R","L","ABQ","ELP","S",NA,"",1,2,2024,-0.81,-0.24,-0.5,1.85,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,608700,NA,NA,-3.92836893224029,-115.692575715957,-2.08856400648549,-6.77681943534388,17.0363547767405,-34.1787690618416,3.29,1.66,NA,NA,NA,80.2,2759,6.3,752117,543001,608700,664954,676946,687867,669200,672359,641796,668751,54.17,NA,NA,NA,NA,NA,NA,NA,44,6,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",294,0,0,NA,NA,"Colorado Rockies","San Diego Padres"
"SI",2024-03-31,91.1,-2.74,5.84,"Sampson, Adrian",694376,592716,"","foul",NA,NA,NA,NA,11,"Shay Whitcomb flies out to left fielder Trevor Hauver.","R","R","R","RR","SUG","S",NA,"",2,2,2024,-1.09,0.82,-0.99,2.51,NA,NA,694175,1,5,"Top",NA,NA,NA,NA,669087,NA,NA,6.76045623832644,-132.463153613127,-4.25796563520569,-14.2846903875564,27.6233613806073,-21.8407498413611,3.25,1.64,110,55.5,65,91.5,2013,6.5,751740,592716,669087,679822,622110,673995,680716,669386,609274,660758,53.96,NA,NA,NA,NA,NA,NA,NA,42,5,"Sinker",8,2,2,8,2,8,2,8,"Standard","Standard",237,0,0,NA,NA,"Texas Rangers","Houston Astros"
"KC",2024-03-31,82.8,-2.77,5.74,"Abbott, Cory",678246,676265,"","ball",NA,NA,NA,NA,14,"Miguel Vargas flies out to left fielder Jonatan Clase.","R","R","R","TAC","OKC","B",NA,"",0,2,2024,0.23,-0.69,1.22,0.89,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,657709,NA,NA,8.6489298173548,-120.373679032639,-3.28570463172205,0.76352367795297,21.175976210849,-38.5432441724031,3.3,1.67,NA,NA,NA,83.1,2435,6.3,751440,676265,657709,605119,669392,656308,669208,682729,687799,613564,54.19,NA,NA,NA,NA,NA,NA,NA,19,3,"Knuckle Curve",0,3,3,0,3,0,3,0,"Standard","Standard",21,0,0.03,NA,NA,"Seattle Mariners","Los Angeles Dodgers"
"FF",2024-03-31,91.3,1.49,6.2,"Headrick, Brent",687588,687396,"","ball",NA,NA,NA,NA,8,"Micah Pries strikes out swinging.","R","L","L","STP","COL","B",NA,"",0,1,2024,0.69,1.48,-0.14,1.62,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,680868,NA,NA,-5.64319535831343,-132.516034462896,-8.80355235746921,9.40056672031527,32.93907668301,-12.9469174813115,3.34,1.69,NA,NA,NA,91.6,2430,7,752412,687396,680868,669304,668791,670870,680737,684576,680577,679938,53.53,NA,NA,NA,NA,NA,NA,NA,26,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Infield shade","Standard",142,0,0.033,NA,NA,"Minnesota Twins","Cleveland Guardians"
"FF",2024-03-31,94.2,-1.31,6.45,"Suárez, Albert",678545,544150,"field_error","hit_into_play",NA,NA,NA,NA,5,"Osleivis Basabe reaches on a fielding error by first baseman Billy Cook.   C.J. Hinojosa scores.","R","R","R","NOR","DUR","X",3,"ground_ball",0,1,2024,-0.93,1.44,-0.22,2.55,NA,546994,NA,2,7,"Top",171.28,152.59,NA,NA,668974,NA,NA,4.90494298104931,-136.883445276979,-7.63202956696149,-12.7635282459998,30.2833644666228,-12.6244602757428,3.17,1.6,50,103.1,0,94.4,2316,6.5,752715,544150,668974,695257,660636,691723,702616,681393,669065,677008,54.03,0.431,0.388,0.9,1,0,0,4,62,2,"4-Seam Fastball",1,15,15,1,16,1,16,1,"Standard","Standard",219,0,0.642,NA,NA,"Baltimore Orioles","Tampa Bay Rays"
"ST",2024-03-31,85.5,-0.89,5.89,"Mena, Cristian",695391,691441,"strikeout","swinging_strike",NA,NA,NA,NA,6,"Brett Harris strikes out swinging.","R","R","R","LV","RNO","S",2,"",0,2,2024,0.06,0.89,0.46,2.41,NA,663662,NA,2,5,"Bot",NA,NA,NA,NA,680728,NA,NA,3.09867724582803,-124.61702791904,-3.84961695135127,0.139011782754775,21.5133780233973,-22.2831379248677,3.28,1.66,NA,NA,NA,87.2,2545,7,751961,691441,680728,656976,676857,665953,621028,678489,545341,546991,53.52,NA,0,0,1,0,0,NA,42,3,"Sweeper",0,5,0,5,5,0,0,5,"Standard","Standard",88,-0.014,-0.174,NA,NA,"Oakland Athletics","Arizona Diamondbacks"
"SL",2024-03-31,80,-1.57,5.62,"Dallas, Chad",675656,689149,"","foul",NA,NA,NA,NA,2,"Kevin Smith strikes out swinging.","R","R","R","BUF","SWB","S",NA,"",0,2,2024,0.93,-0.23,0.16,3.1,NA,702332,677592,2,5,"Top",NA,NA,NA,NA,668721,NA,NA,2.06489514567417,-116.603931985749,1.50383761473831,8.17971681068679,20.2153495590634,-34.7398406811599,3.16,1.59,199,67.1,30,80.4,2572,6.3,753613,689149,668721,687462,671088,680718,677870,672463,686490,683770,54.22,NA,NA,NA,NA,NA,NA,NA,41,3,"Slider",1,3,3,1,3,1,3,1,"Standard","Standard",45,0,0,NA,NA,"Toronto Blue Jays","New York Yankees"
"FF",2024-03-31,92.4,-0.69,6.16,"Mena, Cristian",695391,691441,"","swinging_strike",NA,NA,NA,NA,12,"Brett Harris strikes out swinging.","R","R","R","LV","RNO","S",NA,"",0,1,2024,-0.11,1.39,0.15,3.42,NA,663662,NA,2,5,"Bot",NA,NA,NA,NA,680728,NA,NA,2.39083933525939,-134.573809362899,-4.28767118081582,-1.81849493165608,26.8821126771376,-14.5516004282774,3.28,1.66,NA,NA,NA,93.9,2316,7,751961,691441,680728,656976,676857,665953,621028,678489,545341,546991,53.53,NA,NA,NA,NA,NA,NA,NA,42,2,"4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard",203,0,-0.086,NA,NA,"Oakland Athletics","Arizona Diamondbacks"
"CU",2024-03-31,80.5,-0.96,6.38,"Priester, Quinn",674441,682990,"","foul_tip",NA,NA,NA,NA,8,"Bats challenged (pitch result), call on the field was overturned: Jacob Hurtubise walks.","R","L","R","LOU","IND","S",NA,"",1,1,2024,0.56,-0.87,-0.1,1.99,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,670190,NA,NA,0.855879990556304,-117.27420209872,-1.42503797326273,4.99550611829206,22.0082919718551,-40.194244479888,3.14,1.59,NA,NA,NA,80.3,2588,6.1,752938,682990,670190,682650,678894,642727,693304,640460,665482,641943,54.41,NA,NA,NA,NA,NA,NA,NA,45,3,"Curveball",0,3,0,3,3,0,0,3,"Standard","Standard",55,0,-0.027,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"FF",2024-03-31,91.4,-2.66,5.93,"Sampson, Adrian",694376,592716,"","ball",NA,NA,NA,NA,12,"Shay Whitcomb flies out to left fielder Trevor Hauver.","R","R","R","RR","SUG","B",NA,"",1,2,2024,-0.57,1.25,0.05,5.21,NA,NA,694175,1,5,"Top",NA,NA,NA,NA,669087,NA,NA,8.09425957252287,-132.831928895222,1.4070098609833,-8.53054635918203,28.632812538691,-17.9419793436896,3.25,1.64,NA,NA,NA,91.6,2068,6.5,751740,592716,669087,679822,622110,673995,680716,669386,609274,660758,54.01,NA,NA,NA,NA,NA,NA,NA,42,4,"4-Seam Fastball",8,2,2,8,2,8,2,8,"Standard","Standard",233,0,0.058,NA,NA,"Texas Rangers","Houston Astros"
"FC",2024-03-31,87.5,-2.35,6.44,"Buchanan, David",686765,571527,"","foul",NA,NA,NA,NA,2,"Nick Sogard singles on a soft fly ball to left fielder David Dahl.   Dalton Guthrie scores.","R","L","R","LHV","WOR","S",NA,"",1,0,2024,0.47,0.56,-0.18,2.78,656495,NA,NA,2,4,"Top",NA,NA,NA,NA,605244,NA,NA,4.24212595985579,-127.372273518245,-3.8065631270354,4.17213583726624,27.6334148511002,-25.4569311201263,3.25,1.64,178,71.2,58,86.8,2236,6,753015,571527,605244,669742,665019,674951,664068,621311,670276,656669,54.55,NA,NA,NA,NA,NA,NA,NA,30,2,"Cutter",2,2,2,2,2,2,2,2,"Standard","Standard",194,0,-0.084,NA,NA,"Philadelphia Phillies","Boston Red Sox"
"SL",2024-03-31,83.6,-1.02,5.61,"Hoffmann, Andrew",670237,694851,"","called_strike",NA,NA,NA,NA,14,"Jake Slaughter called out on strikes.","R","R","R","OMA","IOW","S",NA,"",0,0,2024,0.94,0.61,0.92,1.64,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,682515,NA,NA,2.63816557266222,-121.872201602464,-4.04524148548048,8.98676012491688,21.4329655694458,-25.5227753159095,3.27,1.65,NA,NA,NA,85.1,2344,6.9,752640,694851,682515,668472,686475,680769,687478,670231,671221,694355,53.59,NA,NA,NA,NA,NA,NA,NA,34,1,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",71,0,-0.024,NA,NA,"Kansas City Royals","Chicago Cubs"
"FF",2024-03-31,92,3.43,5.49,"Lopez, Jacob",681393,682052,"field_out","hit_into_play",NA,NA,NA,NA,6,"Connor Norby lines out sharply to right fielder Kameron Misner.","R","R","L","NOR","DUR","X",9,"line_drive",0,0,2024,1.21,0.84,0.4,2.57,695257,668974,NA,2,5,"Bot",171.62,105.02,NA,NA,686482,NA,NA,-10.3669279664693,-133.631341435934,-3.39745915384555,16.7203953603961,29.137065129301,-21.508064336562,3.12,1.57,261,100.4,16,92.5,2075,6.7,752715,682052,686482,665180,592348,691406,678545,682927,663968,670224,53.78,0.526,0.539,0,1,0,0,4,48,1,"4-Seam Fastball",1,11,1,11,11,1,1,11,"","",119,-0.002,-0.577,NA,NA,"Baltimore Orioles","Tampa Bay Rays"
"FF",2024-03-31,93.3,3.4,5.74,"Lodolo, Nick",640460,666157,"","foul",NA,NA,NA,NA,3,"Dustin Peterson walks.   Carter Bins to 2nd.","R","R","L","LOU","IND","S",NA,"",3,2,2024,1.61,1.18,0.42,3.26,NA,NA,670190,1,5,"Top",NA,NA,NA,NA,642851,NA,NA,-11.1723070729498,-135.425176163164,-3.18390308276741,22.3053804528074,30.1206425839139,-17.1082344471726,3.26,1.65,150,76.5,75,92.9,2365,6.2,752938,666157,642851,685127,688005,541650,570481,674441,694362,677956,54.28,NA,NA,NA,NA,NA,NA,NA,31,7,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",119,0,0,NA,NA,"Cincinnati Reds","Pittsburgh Pirates"
"FF",2024-03-31,89.5,-2.88,5.51,"Abbott, Cory",678246,676265,"","called_strike",NA,NA,NA,NA,9,"Miguel Vargas flies out to left fielder Jonatan Clase.","R","R","R","TAC","OKC","S",NA,"",0,1,2024,-0.99,1.49,0.61,1.66,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,657709,NA,NA,10.6812419422396,-129.836000709368,-6.64197709301896,-13.3721218915733,25.8798201035715,-14.0432503802839,3.3,1.67,NA,NA,NA,89.5,2299,6.3,751440,676265,657709,605119,669392,656308,669208,682729,687799,613564,54.17,NA,NA,NA,NA,NA,NA,NA,19,2,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",213,0,-0.046,NA,NA,"Seattle Mariners","Los Angeles Dodgers"
"FF",2024-03-31,91.3,-1.3,5.59,"Daniel, Davis",665998,669721,"","called_strike",NA,NA,NA,NA,9,"Ismael Munguia singles on a line drive to right fielder Jordyn Adams.","R","L","R","SAC","SL","S",NA,"",0,0,2024,-1.05,1.3,0.64,1.86,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,595453,NA,NA,7.17979301353695,-132.642612125529,-6.32915748560884,-13.9123885823057,27.3078503078593,-15.6466007311495,3,1.52,NA,NA,NA,91.8,2183,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.93,NA,NA,NA,NA,NA,NA,NA,41,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",204,0,-0.042,NA,NA,"San Francisco Giants","Los Angeles Angels"
